parameter,tokenizer,tokens_per_original_char,tokens_per_sample,total_test_tokens,vocab_unique,vocab_raw,vocab_total
K=0,Chinese Origin,0.5448227627056512,312.83497693475186,41841991,61174,63500,"61,174 (63,500)"
K=0,Pinyin-Toned,0.5752675959645502,330.3162742708466,44180132,50638,63743,"50,638 (63,743)"
K=0,Pinyin-Toneless,0.5573626343406306,320.0353193620982,42805044,49794,63743,"49,794 (63,743)"
K=0,Pinyin-Diacritic,0.5979849470185726,343.3604832861063,45924808,38336,63763,"38,336 (63,763)"
K=1000,Chinese Origin,0.5448232314601007,312.835246091618,41842027,61174,63500,"61,174 (63,500)"
K=1000,Pinyin-Toned,0.597206840674308,342.91369784151146,45865050,43248,63756,"43,248 (63,756)"
K=1000,Pinyin-Toneless,0.5703822631337216,327.5111363653356,43804942,46828,63742,"46,828 (63,742)"
K=1000,Pinyin-Diacritic,0.5971434416350124,342.87729437536916,45860181,43274,63760,"43,274 (63,760)"
5%,Chinese Origin,0.5447505224365997,312.79349687105145,41836443,61167,63499,"61,167 (63,499)"
5%,Pinyin-Toned,0.5973933268194694,343.0207774147483,45879372,42448,63756,"42,448 (63,756)"
5%,Pinyin-Toneless,0.5704872120465831,327.5713975970273,43813002,46394,63747,"46,394 (63,747)"
5%,Pinyin-Diacritic,0.5973703187885728,343.0075662985697,45877605,42439,63756,"42,439 (63,756)"
K=2048,Chinese Origin,0.5447989603963819,312.82130974721684,41840163,61143,63499,"61,143 (63,499)"
K=2048,Pinyin-Toned,0.5973988867680788,343.02396991424365,45879799,42663,63755,"42,663 (63,755)"
K=2048,Pinyin-Toneless,0.5703448018406321,327.4896262457851,43802065,46602,63741,"46,602 (63,741)"
K=2048,Pinyin-Diacritic,0.5973807876379451,343.0135774685797,45878409,42653,63754,"42,653 (63,754)"
10%,Chinese Origin,0.5447,312.7378,41828988,61135,63499,"61,135 (63,499)"
10%,Pinyin-Toned,0.5989,343.9132,45998734,42934,63763,"42,934 (63,763)"
10%,Pinyin-Toneless,0.5726,328.7561,43971452,46739,63756,"46,739 (63,756)"
10%,Pinyin-Diacritic,0.5989,343.9062,45997795,42927,63763,"42,927 (63,763)"
