parameter,size,file,type,test_file,tokens_per_sample,tokens_per_surface_char,tokens_per_original_char,total_tokens,total_chars,total_original_chars,morph_score,valid_tokens,checked_tokens,invalid_tokens,skipped_punctuation_tokens,overlap,chars_per_token,bytes_per_token,chars_per_byte,bytes_per_original_char
baseline,16000,chinese_origin_subset100k_superbpe_16000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,370.9075,0.646,0.646,49609249,76799271,76799271,0.8503,16876532,19847996,2971464,8539027,0.0,1.5481,3.9828,0.3887,2.5727
baseline,64000,chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.7378,0.5447,0.5447,41828988,76799271,76799271,0.8689,19275299,22184653,2909354,7661434,0.0,1.836,4.7236,0.3887,2.5727
0.05,16000,chinese_origin_subset100k_superbpe_16000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,370.89078212499345,0.6459307797335733,0.6459307797335733,49607013,76799271,76799271,0.8500740700890579,16875792,19852143,2976351,8539804,0.0,1.5481535040216996,3.9829726494518023,0.3886929789072943,2.5727246291178987
0.05,64000,chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.79349687105145,0.5447505224365997,0.5447505224365997,41836443,76799271,76799271,0.8687006660407037,19274455,22187683,2913228,7653088,0.0,1.83570269107247,4.722757525060149,0.3886929789072943,2.5727246291178987
2048_subset100k,16000,chinese_origin_subset100k_superbpe_16000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,370.886079356416,0.6459225895516638,0.6459225895516638,49606384,76799271,76799271,0.8505308922942246,16878453,19844609,2966156,8539983,0.0,1.5481731343288396,3.983023152826459,0.3886929789072943,2.5727246291178987
2048_subset100k,64000,chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.82130974721684,0.5447989603963819,0.5447989603963819,41840163,76799271,76799271,0.8686046701311703,19275340,22191154,2915814,7651275,0.0,1.8355394791363504,4.722337625692329,0.3886929789072943,2.5727246291178987
baseline,16000,pinyin_diacritic_subset100k_superbpe_16000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,404.9936,0.2034,0.7053,54168293,266293328,76799271,0.9804,41790283,42623865,833582,9774982,0.0,4.916,6.0115,0.8178,4.24
baseline,64000,pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,343.9062,0.1727,0.5989,45997795,266293328,76799271,0.9711,34858213,35897079,1038866,9303574,0.0,5.7893,7.0793,0.8178,4.24
0.05,16000,pinyin_diacritic_subset100k_superbpe_16000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,404.2669138922326,0.2030509153424978,0.7040575163792896,54071104,266293328,76799271,0.9809287189072529,41532777,42340260,807483,9558014,0.0,4.92487314481317,6.022256989611309,0.8177786423443603,4.240015299103555
0.05,64000,pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,343.0075662985697,0.17228221729986415,0.5973703187885728,45877605,266293328,76799271,0.9713636603852617,34739102,35763230,1024128,9120866,0.0,5.804429590428707,7.097800419180556,0.8177786423443603,4.240015299103555
