Token Category,Chinese 8K,Chinese 16K,Chinese 32K,Chinese 64K,Pinyin-Toneless 8K,Pinyin-Toneless 16K,Pinyin-Toneless 32K,Pinyin-Toneless 64K,Pinyin-Toned 8K,Pinyin-Toned 16K,Pinyin-Toned 32K,Pinyin-Toned 64K,Pinyin-Diacritic 8K,Pinyin-Diacritic 16K,Pinyin-Diacritic 32K,Pinyin-Diacritic 64K
Base inventory,,,,,,,,,,,,,,,,
SINGLE LETTERS (A-Z),52 (93),52 (104),52 (115),52 (137),52 (190),52 (243),52 (301),52 (346),52 (181),52 (235),52 (302),52 (347),52 (179),52 (234),52 (302),52 (350)
SINGLE CJK CHARACTERS,2375 (2415),3061 (3181),3769 (4021),4515 (4938),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
DIGITS,155 (185),246 (294),312 (391),559 (694),217 (390),345 (673),651 (1193),1460 (2416),110 (252),251 (552),474 (971),1211 (2077),108 (253),250 (552),473 (970),1213 (2081)
PUNCTUATION,131 (131),201 (202),308 (309),471 (472),56 (58),64 (67),74 (77),94 (97),52 (54),63 (66),70 (73),91 (94),52 (53),63 (66),70 (73),91 (94)
PURE LATIN COMBINATIONS,274 (295),710 (784),1541 (1740),3165 (3750),610 (1646),1147 (2677),2245 (4411),4273 (7724),1184 (2805),1591 (3943),2532 (5911),4534 (9432),1178 (2814),1574 (3925),2521 (5903),4523 (9422)
Multi-syllable / multi-character tokens,,,,,,,,,,,,,,,,
2-SYLLABLE / 2-CHAR,3441 (3481),7588 (7721),15003 (15322),27277 (28038),3881 (4610),7241 (9214),12527 (16891),20246 (29386),2872 (3771),6133 (8553),11630 (17101),20820 (32093),2877 (3752),6136 (8560),11635 (17105),20820 (32093)
3-SYLLABLE / 3-CHAR,552 (552),1949 (1952),5352 (5374),13215 (13309),491 (528),1587 (1742),4667 (5249),11981 (13795),323 (367),1245 (1429),3539 (4238),8825 (10952),328 (372),1248 (1432),3539 (4238),8825 (10952)
4-SYLLABLE / 4-CHAR,95 (97),442 (446),1687 (1701),5710 (5753),74 (80),334 (363),1200 (1323),3878 (4333),64 (68),262 (294),927 (1055),3119 (3665),64 (68),263 (295),928 (1056),3118 (3664)
5-SYLLABLE / 5-CHAR,23 (23),100 (100),389 (389),1341 (1344),36 (37),90 (92),310 (321),965 (1029),24 (25),61 (64),236 (250),798 (886),24 (25),61 (64),235 (249),798 (886)
6+-SYLLABLE / 6+-CHAR,40 (42),121 (125),386 (395),1336 (1349),45 (48),119 (124),361 (374),1118 (1164),38 (40),105 (109),291 (308),951 (1017),38 (40),105 (109),290 (307),951 (1017)
Mixed tokens,,,,,,,,,,,,,,,,
MIXED (LATIN + CJK),5 (5),12 (12),51 (51),160 (164),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
Other,,,,,,,,,,,,,,,,
OTHER / UNKNOWN,246 (269),593 (652),1597 (1738),3334 (3551),227 (286),489 (665),1345 (1668),2734 (3466),228 (314),467 (619),1312 (1606),2533 (3200),237 (319),474 (626),1320 (1619),2537 (3204)
Total,7389 (7588),15075 (15573),30447 (31546),61135 (63499),5687 (7873),11459 (15860),23411 (31808),46739 (63756),4947 (7877),10230 (15864),21063 (31815),42934 (63763),4958 (7875),10226 (15863),21063 (31822),42927 (63763)
