N,pair_count,source_token_count,a_vocab_size,c_vocab_size,mapped_a_count,one_to_one_source_count,many_to_one_source_count,many_to_one_pair_count,independent_a_count,independent_c_count
2,1858,3716,61134,42933,40092,31748,8344,2706,21042,8479
3,341,1023,61134,42933,40092,31748,8344,2706,21042,8479
4,145,580,61134,42933,40092,31748,8344,2706,21042,8479
5,90,450,61134,42933,40092,31748,8344,2706,21042,8479
6,64,384,61134,42933,40092,31748,8344,2706,21042,8479
7,48,336,61134,42933,40092,31748,8344,2706,21042,8479
8,45,360,61134,42933,40092,31748,8344,2706,21042,8479
9,26,234,61134,42933,40092,31748,8344,2706,21042,8479
10,18,180,61134,42933,40092,31748,8344,2706,21042,8479
11,17,187,61134,42933,40092,31748,8344,2706,21042,8479
12,11,132,61134,42933,40092,31748,8344,2706,21042,8479
13,15,195,61134,42933,40092,31748,8344,2706,21042,8479
14,6,84,61134,42933,40092,31748,8344,2706,21042,8479
15,5,75,61134,42933,40092,31748,8344,2706,21042,8479
17,2,34,61134,42933,40092,31748,8344,2706,21042,8479
18,1,18,61134,42933,40092,31748,8344,2706,21042,8479
19,1,19,61134,42933,40092,31748,8344,2706,21042,8479
20,2,40,61134,42933,40092,31748,8344,2706,21042,8479
21,1,21,61134,42933,40092,31748,8344,2706,21042,8479
22,3,66,61134,42933,40092,31748,8344,2706,21042,8479
26,1,26,61134,42933,40092,31748,8344,2706,21042,8479
27,3,81,61134,42933,40092,31748,8344,2706,21042,8479
30,1,30,61134,42933,40092,31748,8344,2706,21042,8479
32,1,32,61134,42933,40092,31748,8344,2706,21042,8479
41,1,41,61134,42933,40092,31748,8344,2706,21042,8479
