representation,stage1_vocab_size,inventory_size,k,coverage
pinyin_toned,32000,1360,0,0.0
pinyin_toned,32000,1360,400,0.2235294117647059
pinyin_toned,32000,1360,800,0.47205882352941175
pinyin_toned,32000,1360,1200,0.6308823529411764
pinyin_toned,32000,1360,1600,0.7051470588235295
pinyin_toned,32000,1360,1800,0.7286764705882353
pinyin_toned,32000,1360,2048,0.7507352941176471
pinyin_toned,32000,1360,2400,0.7683823529411765
pinyin_toned,32000,1360,3200,0.7941176470588235
pinyin_toned,32000,1360,4096,0.8051470588235294
pinyin_toned,32000,1360,6400,0.8286764705882353
pinyin_toned,64000,1360,0,0.0
pinyin_toned,64000,1360,400,0.2235294117647059
pinyin_toned,64000,1360,800,0.47205882352941175
pinyin_toned,64000,1360,1200,0.6308823529411764
pinyin_toned,64000,1360,1600,0.7051470588235295
pinyin_toned,64000,1360,1800,0.7286764705882353
pinyin_toned,64000,1360,2048,0.7507352941176471
pinyin_toned,64000,1360,2400,0.7683823529411765
pinyin_toned,64000,1360,3200,0.7941176470588235
pinyin_toned,64000,1360,4096,0.8051470588235294
pinyin_toned,64000,1360,6400,0.8286764705882353
pinyin_toneless,32000,415,0,0.007228915662650603
pinyin_toneless,32000,415,400,0.7975903614457831
pinyin_toneless,32000,415,800,0.9156626506024096
pinyin_toneless,32000,415,1200,0.9518072289156626
pinyin_toneless,32000,415,1600,0.9614457831325302
pinyin_toneless,32000,415,1800,0.9614457831325302
pinyin_toneless,32000,415,2048,0.9614457831325302
pinyin_toneless,32000,415,2400,0.963855421686747
pinyin_toneless,32000,415,3200,0.9686746987951808
pinyin_toneless,32000,415,4096,0.9710843373493976
pinyin_toneless,32000,415,6400,0.9710843373493976
pinyin_toneless,64000,415,0,0.007228915662650603
pinyin_toneless,64000,415,400,0.7975903614457831
pinyin_toneless,64000,415,800,0.9156626506024096
pinyin_toneless,64000,415,1200,0.9518072289156626
pinyin_toneless,64000,415,1600,0.9614457831325302
pinyin_toneless,64000,415,1800,0.9614457831325302
pinyin_toneless,64000,415,2048,0.9614457831325302
pinyin_toneless,64000,415,2400,0.963855421686747
pinyin_toneless,64000,415,3200,0.9686746987951808
pinyin_toneless,64000,415,4096,0.9710843373493976
pinyin_toneless,64000,415,6400,0.9710843373493976
pinyin_diacritic,32000,1360,0,0.0
pinyin_diacritic,32000,1360,400,0.2286764705882353
pinyin_diacritic,32000,1360,800,0.47573529411764703
pinyin_diacritic,32000,1360,1200,0.6338235294117647
pinyin_diacritic,32000,1360,1600,0.7073529411764706
pinyin_diacritic,32000,1360,1800,0.7316176470588235
pinyin_diacritic,32000,1360,2048,0.7544117647058823
pinyin_diacritic,32000,1360,2400,0.7720588235294118
pinyin_diacritic,32000,1360,3200,0.7970588235294118
pinyin_diacritic,32000,1360,4096,0.8080882352941177
pinyin_diacritic,32000,1360,6400,0.8323529411764706
pinyin_diacritic,64000,1360,0,0.0
pinyin_diacritic,64000,1360,400,0.2286764705882353
pinyin_diacritic,64000,1360,800,0.47573529411764703
pinyin_diacritic,64000,1360,1200,0.6338235294117647
pinyin_diacritic,64000,1360,1600,0.7073529411764706
pinyin_diacritic,64000,1360,1800,0.7316176470588235
pinyin_diacritic,64000,1360,2048,0.7544117647058823
pinyin_diacritic,64000,1360,2400,0.7720588235294118
pinyin_diacritic,64000,1360,3200,0.7970588235294118
pinyin_diacritic,64000,1360,4096,0.8080882352941177
pinyin_diacritic,64000,1360,6400,0.8323529411764706
