representation,stage1_vocab_size,inventory_size,threshold,min_k,coverage_at_min_k,max_k,max_coverage
pinyin_toned,32000,1360,0.95,,0.0,31800,0.8933823529411765
pinyin_toned,32000,1360,0.97,,0.0,31800,0.8933823529411765
pinyin_toned,32000,1360,0.99,,0.0,31800,0.8933823529411765
pinyin_toned,64000,1360,0.95,,0.0,63800,0.9073529411764706
pinyin_toned,64000,1360,0.97,,0.0,63800,0.9073529411764706
pinyin_toned,64000,1360,0.99,,0.0,63800,0.9073529411764706
pinyin_toneless,32000,415,0.95,1181,0.9518072289156626,31800,0.9879518072289156
pinyin_toneless,32000,415,0.97,3691,0.9710843373493976,31800,0.9879518072289156
pinyin_toneless,32000,415,0.99,,0.0,31800,0.9879518072289156
pinyin_toneless,64000,415,0.95,1181,0.9518072289156626,63800,0.9951807228915662
pinyin_toneless,64000,415,0.97,3691,0.9710843373493976,63800,0.9951807228915662
pinyin_toneless,64000,415,0.99,32118,0.9903614457831326,63800,0.9951807228915662
pinyin_diacritic,32000,1360,0.95,,0.0,31800,0.8948529411764706
pinyin_diacritic,32000,1360,0.97,,0.0,31800,0.8948529411764706
pinyin_diacritic,32000,1360,0.99,,0.0,31800,0.8948529411764706
pinyin_diacritic,64000,1360,0.95,,0.0,63800,0.9088235294117647
pinyin_diacritic,64000,1360,0.97,,0.0,63800,0.9088235294117647
pinyin_diacritic,64000,1360,0.99,,0.0,63800,0.9088235294117647
