model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,2,N=2,3243,0.4685,0.4639,0.688,0.8063,diao su (N=2),0.0222,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N=2 collision groups
BAAI/bge-small-zh-v1.5,3,N=3,955,0.5041,0.523,0.6413,0.743,jian ji (N=3),0.162,yi kai shi (N=3),equal-weight mean over filtered N=3 collision groups
BAAI/bge-small-zh-v1.5,4,N=4,337,0.5198,0.5331,0.6276,0.7145,ying hua (N=4),0.2085,ta men de (N=4),equal-weight mean over filtered N=4 collision groups
BAAI/bge-small-zh-v1.5,5,N=5,133,0.525,0.5331,0.6122,0.6739,qi qi (N=5),0.323,yi zai (N=5),equal-weight mean over filtered N=5 collision groups
BAAI/bge-small-zh-v1.5,6,N=6,68,0.5426,0.5524,0.6202,0.6432,zhi fu (N=6),0.3051,ta yu (N=6),equal-weight mean over filtered N=6 collision groups
BAAI/bge-small-zh-v1.5,7,N=7,39,0.5285,0.5363,0.6035,0.6374,fu shi (N=7),0.291,shi yong (N=7),equal-weight mean over filtered N=7 collision groups
BAAI/bge-small-zh-v1.5,8,N=8,21,0.5465,0.5538,0.6015,0.606,zhi zhi (N=8),0.4671,li ya (N=8),equal-weight mean over filtered N=8 collision groups
BAAI/bge-small-zh-v1.5,9,N=9,19,0.5258,0.5403,0.5881,0.627,wu shi (N=9),0.4065,zhi yu (N=9),equal-weight mean over filtered N=9 collision groups
BAAI/bge-small-zh-v1.5,10,N=10,4,0.5111,0.5134,0.5506,0.5559,ji wei (N=10),0.4617,zhi yi (N=10),equal-weight mean over filtered N=10 collision groups
BAAI/bge-small-zh-v1.5,11,N=11,8,0.5461,0.5476,0.5979,0.6024,li shi (N=11),0.4674,yi wei (N=11),equal-weight mean over filtered N=11 collision groups
BAAI/bge-small-zh-v1.5,12,N=12,2,0.5278,0.5278,0.5309,0.5317,shi wei (N=12),0.5239,you yi (N=12),equal-weight mean over filtered N=12 collision groups
BAAI/bge-small-zh-v1.5,13,N=13,4,0.5303,0.5332,0.5781,0.5927,qi shi (N=13),0.4621,shi de (N=13),equal-weight mean over filtered N=13 collision groups
BAAI/bge-small-zh-v1.5,14,N=14,1,0.5373,0.5373,0.5373,0.5373,zhi shi (N=14),0.5373,zhi shi (N=14),equal-weight mean over filtered N=14 collision groups
BAAI/bge-small-zh-v1.5,16,N=16,1,0.5599,0.5599,0.5599,0.5599,shi ji (N=16),0.5599,shi ji (N=16),equal-weight mean over filtered N=16 collision groups
BAAI/bge-small-zh-v1.5,17,N=17,2,0.5625,0.5625,0.5682,0.5696,ji shi (N=17),0.5554,yi zhi (N=17),equal-weight mean over filtered N=17 collision groups
BAAI/bge-small-zh-v1.5,21,N=21,1,0.5772,0.5772,0.5772,0.5772,yi shi (N=21),0.5772,yi shi (N=21),equal-weight mean over filtered N=21 collision groups
BAAI/bge-small-zh-v1.5,ALL,ALL,4838,0.4831,0.5072,0.6743,0.8063,diao su (N=2),0.0222,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N>1 collision groups
