model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,2,jing you,1,0.6754,0.6754,0.6754,0.6754,精油|经由,0.6754,精油|经由,精油 / 经由
BAAI/bge-small-zh-v1.5,2,qiu de,1,0.593,0.593,0.593,0.593,求得|球的,0.593,求得|球的,求得 / 球的
BAAI/bge-small-zh-v1.5,2,shang pu,1,0.1644,0.1644,0.1644,0.1644,商舖|商铺,0.1644,商舖|商铺,商舖 / 商铺
BAAI/bge-small-zh-v1.5,2,xi ban,1,0.4095,0.4095,0.4095,0.4095,戏班|西班,0.4095,戏班|西班,戏班 / 西班
BAAI/bge-small-zh-v1.5,2,xiao wu,1,0.6945,0.6945,0.6945,0.6945,小屋|校务,0.6945,小屋|校务,小屋 / 校务
BAAI/bge-small-zh-v1.5,3,dan ta,3,0.2206,0.2346,0.2458,0.2486,但他|但她,0.1784,但他|但它,但他 / 但她 / 但它
BAAI/bge-small-zh-v1.5,3,guo qing,3,0.3643,0.3442,0.4047,0.4198,国庆|国青,0.3289,国情|国青,国庆 / 国情 / 国青
BAAI/bge-small-zh-v1.5,3,jing wei,3,0.5629,0.5757,0.638,0.6536,敬畏|精卫,0.4596,精卫|警卫,敬畏 / 精卫 / 警卫
BAAI/bge-small-zh-v1.5,3,quan li,3,0.3939,0.4123,0.5516,0.5864,全力|权利,0.1829,权利|权力,全力 / 权利 / 权力
BAAI/bge-small-zh-v1.5,3,yi dian,3,0.6991,0.6759,0.7432,0.76,伊甸|艺电,0.6615,一点|伊甸,一点 / 伊甸 / 艺电
BAAI/bge-small-zh-v1.5,4,li he,6,0.4716,0.4794,0.611,0.6172,利和|离合,0.3177,利和|里和,利和 / 力和 / 离合 / 里和
BAAI/bge-small-zh-v1.5,4,ma li ya,6,0.2836,0.3108,0.3841,0.3982,玛利亚|马里亚,0.1508,玛丽亚|玛利亚,玛丽亚 / 玛利亚 / 马利亚 / 马里亚
BAAI/bge-small-zh-v1.5,4,ren shou,6,0.5451,0.6093,0.6695,0.6886,人手|仁寿,0.3339,人寿|仁寿,人寿 / 人手 / 仁寿 / 忍受
BAAI/bge-small-zh-v1.5,4,xi jie,6,0.6346,0.6813,0.7156,0.7396,细节|西街,0.3602,西接|西街,洗劫 / 细节 / 西接 / 西街
BAAI/bge-small-zh-v1.5,4,xin sheng,6,0.4434,0.3876,0.6242,0.6299,心生|新声,0.2867,心声|心生,心声 / 心生 / 新声 / 新生
BAAI/bge-small-zh-v1.5,5,bu xi,10,0.5651,0.6028,0.6776,0.6869,布西|补习,0.3155,不息|不惜,不息 / 不惜 / 布希 / 布西 / 补习
BAAI/bge-small-zh-v1.5,5,de li,10,0.5722,0.6337,0.6911,0.7244,德里|的黎,0.2532,德利|德里,得利 / 德利 / 德里 / 的李 / 的黎
BAAI/bge-small-zh-v1.5,5,jian de,10,0.539,0.5448,0.6973,0.7184,建德|间的,0.346,建德|建的,建德 / 建的 / 舰的 / 见的 / 间的
BAAI/bge-small-zh-v1.5,5,wu xian,10,0.6461,0.6522,0.7471,0.755,武仙|诬陷,0.3515,无线|无限,吴县 / 无线 / 无限 / 武仙 / 诬陷
BAAI/bge-small-zh-v1.5,5,yan zhi,10,0.6445,0.6576,0.7097,0.7269,研制|胭脂,0.4606,研制|腌制,延至 / 研制 / 胭脂 / 腌制 / 言之
BAAI/bge-small-zh-v1.5,6,er shi,15,0.4718,0.5038,0.597,0.6094,二十|儿时,0.2282,而使|而是,二世 / 二十 / 二是 / 儿时 / 而使 / 而是
BAAI/bge-small-zh-v1.5,6,fei li,15,0.4599,0.5173,0.6034,0.6358,腓力|飞利,0.2087,费利|费里,腓力 / 菲利 / 费利 / 费里 / 非利 / 飞利
BAAI/bge-small-zh-v1.5,6,li zhi,15,0.5936,0.6199,0.716,0.7476,李志|荔枝,0.2662,励志|立志,励志 / 李志 / 理智 / 离职 / 立志 / 荔枝
BAAI/bge-small-zh-v1.5,6,shi ta,15,0.4186,0.4216,0.658,0.6792,施塔|是他,0.1677,使他|使它,使他 / 使她 / 使它 / 施塔 / 是他 / 是她
BAAI/bge-small-zh-v1.5,6,yi li,15,0.4948,0.5505,0.684,0.7082,以利|伊犁,0.1903,伊丽|伊莉,一哩 / 以利 / 伊丽 / 伊利 / 伊犁 / 伊莉
BAAI/bge-small-zh-v1.5,7,bu li,21,0.4662,0.4583,0.6488,0.6874,不理|布莉,0.2375,布利|布里,不利 / 不力 / 不理 / 布利 / 布力 / 布莉 / 布里
