model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,N=2,3243,0.4886,0.5094,0.6997,0.9095,feng mi (N=2),0.0058,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N=2 collision groups
shibing624/text2vec-base-chinese,3,N=3,955,0.5147,0.5278,0.6558,0.7736,zhao shi (N=3),0.0904,dan ta (N=3),equal-weight mean over filtered N=3 collision groups
shibing624/text2vec-base-chinese,4,N=4,337,0.5297,0.5385,0.6336,0.7357,xi jin (N=4),0.2079,zai yu (N=4),equal-weight mean over filtered N=4 collision groups
shibing624/text2vec-base-chinese,5,N=5,133,0.5288,0.5361,0.6465,0.6964,di shi (N=5),0.2907,bo luo (N=5),equal-weight mean over filtered N=5 collision groups
shibing624/text2vec-base-chinese,6,N=6,68,0.5262,0.5278,0.6164,0.6505,jin ji (N=6),0.2456,ta yu (N=6),equal-weight mean over filtered N=6 collision groups
shibing624/text2vec-base-chinese,7,N=7,39,0.5175,0.5241,0.6163,0.6622,shi zi (N=7),0.3034,ai li (N=7),equal-weight mean over filtered N=7 collision groups
shibing624/text2vec-base-chinese,8,N=8,21,0.5527,0.5689,0.6198,0.6288,wei shi (N=8),0.4281,li ya (N=8),equal-weight mean over filtered N=8 collision groups
shibing624/text2vec-base-chinese,9,N=9,19,0.5333,0.5394,0.638,0.6406,zhi li (N=9),0.3693,zhi yu (N=9),equal-weight mean over filtered N=9 collision groups
shibing624/text2vec-base-chinese,10,N=10,4,0.5455,0.5514,0.595,0.6087,ji wei (N=10),0.4708,zhi yi (N=10),equal-weight mean over filtered N=10 collision groups
shibing624/text2vec-base-chinese,11,N=11,8,0.5261,0.5417,0.5763,0.5922,li shi (N=11),0.3992,ji de (N=11),equal-weight mean over filtered N=11 collision groups
shibing624/text2vec-base-chinese,12,N=12,2,0.4822,0.4822,0.4931,0.4958,shi wei (N=12),0.4685,you yi (N=12),equal-weight mean over filtered N=12 collision groups
shibing624/text2vec-base-chinese,13,N=13,4,0.5438,0.5716,0.5969,0.5985,shi shi (N=13),0.4336,shi de (N=13),equal-weight mean over filtered N=13 collision groups
shibing624/text2vec-base-chinese,14,N=14,1,0.4519,0.4519,0.4519,0.4519,zhi shi (N=14),0.4519,zhi shi (N=14),equal-weight mean over filtered N=14 collision groups
shibing624/text2vec-base-chinese,16,N=16,1,0.5504,0.5504,0.5504,0.5504,shi ji (N=16),0.5504,shi ji (N=16),equal-weight mean over filtered N=16 collision groups
shibing624/text2vec-base-chinese,17,N=17,2,0.5335,0.5335,0.5429,0.5452,ji shi (N=17),0.5218,yi zhi (N=17),equal-weight mean over filtered N=17 collision groups
shibing624/text2vec-base-chinese,21,N=21,1,0.5167,0.5167,0.5167,0.5167,yi shi (N=21),0.5167,yi shi (N=21),equal-weight mean over filtered N=21 collision groups
shibing624/text2vec-base-chinese,ALL,ALL,4838,0.4991,0.5203,0.6829,0.9095,feng mi (N=2),0.0058,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N>1 collision groups
