model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,jing you,1,0.7501,0.7501,0.7501,0.7501,精油|经由,0.7501,精油|经由,精油 / 经由
shibing624/text2vec-base-chinese,2,qiu de,1,0.474,0.474,0.474,0.474,求得|球的,0.474,求得|球的,求得 / 球的
shibing624/text2vec-base-chinese,2,shang pu,1,0.089,0.089,0.089,0.089,商舖|商铺,0.089,商舖|商铺,商舖 / 商铺
shibing624/text2vec-base-chinese,2,xi ban,1,0.5114,0.5114,0.5114,0.5114,戏班|西班,0.5114,戏班|西班,戏班 / 西班
shibing624/text2vec-base-chinese,2,xiao wu,1,0.5797,0.5797,0.5797,0.5797,小屋|校务,0.5797,小屋|校务,小屋 / 校务
shibing624/text2vec-base-chinese,3,dan ta,3,0.0904,0.0859,0.1136,0.1205,但她|但它,0.0646,但他|但它,但他 / 但她 / 但它
shibing624/text2vec-base-chinese,3,guo qing,3,0.4945,0.4856,0.5302,0.5413,国庆|国情,0.4565,国情|国青,国庆 / 国情 / 国青
shibing624/text2vec-base-chinese,3,jing wei,3,0.5278,0.5016,0.5696,0.5865,敬畏|警卫,0.4952,精卫|警卫,敬畏 / 精卫 / 警卫
shibing624/text2vec-base-chinese,3,quan li,3,0.4938,0.576,0.6069,0.6146,全力|权利,0.2907,权利|权力,全力 / 权利 / 权力
shibing624/text2vec-base-chinese,3,yi dian,3,0.5861,0.669,0.6787,0.6811,一点|伊甸,0.4083,一点|艺电,一点 / 伊甸 / 艺电
shibing624/text2vec-base-chinese,4,li he,6,0.5414,0.5238,0.7102,0.7371,利和|离合,0.3298,利和|里和,利和 / 力和 / 离合 / 里和
shibing624/text2vec-base-chinese,4,ma li ya,6,0.3565,0.4228,0.5192,0.5365,玛丽亚|马里亚,0.1108,玛丽亚|玛利亚,玛丽亚 / 玛利亚 / 马利亚 / 马里亚
shibing624/text2vec-base-chinese,4,ren shou,6,0.5355,0.5686,0.6317,0.6467,人手|仁寿,0.3411,人寿|仁寿,人寿 / 人手 / 仁寿 / 忍受
shibing624/text2vec-base-chinese,4,xi jie,6,0.5895,0.6354,0.6686,0.6921,细节|西接,0.3993,西接|西街,洗劫 / 细节 / 西接 / 西街
shibing624/text2vec-base-chinese,4,xin sheng,6,0.543,0.5132,0.6591,0.6875,心生|新声,0.4537,心声|新声,心声 / 心生 / 新声 / 新生
shibing624/text2vec-base-chinese,5,bu xi,10,0.5097,0.5228,0.6208,0.7187,布希|补习,0.2682,布希|布西,不息 / 不惜 / 布希 / 布西 / 补习
shibing624/text2vec-base-chinese,5,de li,10,0.5745,0.5959,0.7014,0.7728,得利|的黎,0.3007,德利|德里,得利 / 德利 / 德里 / 的李 / 的黎
