model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,2,jin3 jin3,1,0.585,0.585,0.585,0.585,仅仅|紧紧,0.585,仅仅|紧紧,仅仅 / 紧紧
BAAI/bge-small-zh-v1.5,2,ren2 he2,1,0.4174,0.4174,0.4174,0.4174,人和|仁和,0.4174,人和|仁和,人和 / 仁和
BAAI/bge-small-zh-v1.5,2,sheng4 gong1,1,0.3169,0.3169,0.3169,0.3169,圣公|圣宫,0.3169,圣公|圣宫,圣公 / 圣宫
BAAI/bge-small-zh-v1.5,2,wu1 si1,1,0.3005,0.3005,0.3005,0.3005,乌思|乌斯,0.3005,乌思|乌斯,乌思 / 乌斯
BAAI/bge-small-zh-v1.5,2,xian4 nei4,1,0.4123,0.4123,0.4123,0.4123,县内|线内,0.4123,县内|线内,县内 / 线内
BAAI/bge-small-zh-v1.5,3,he2 li3,3,0.703,0.7014,0.7072,0.7087,合理|和李,0.6988,和李|荷里,合理 / 和李 / 荷里
BAAI/bge-small-zh-v1.5,3,ke1 ke4,3,0.5886,0.7409,0.751,0.7535,科克|苛刻,0.2713,柯克|科克,柯克 / 科克 / 苛刻
BAAI/bge-small-zh-v1.5,3,quan2 li4,3,0.3939,0.4123,0.5516,0.5864,全力|权利,0.1829,权利|权力,全力 / 权利 / 权力
BAAI/bge-small-zh-v1.5,3,shi2 cai2,3,0.5939,0.6542,0.7046,0.7172,时才|石材,0.4103,石材|食材,时才 / 石材 / 食材
BAAI/bge-small-zh-v1.5,3,zuo4 de,3,0.4155,0.5171,0.5175,0.5176,做的|座的,0.2117,作的|做的,作的 / 做的 / 座的
BAAI/bge-small-zh-v1.5,4,lian2 jie2,6,0.509,0.5704,0.6826,0.6849,廉洁|连结,0.1878,联结|连结,廉洁 / 联捷 / 联结 / 连结
BAAI/bge-small-zh-v1.5,4,liu2 shi4,6,0.5113,0.5374,0.6237,0.6328,刘氏|流逝,0.3333,流士|流式,刘氏 / 流士 / 流式 / 流逝
BAAI/bge-small-zh-v1.5,4,shi4 li4,6,0.6273,0.6321,0.7203,0.7438,市立|视力,0.469,势力|视力,势力 / 市立 / 示例 / 视力
BAAI/bge-small-zh-v1.5,4,ta1 zai4,6,0.3205,0.2653,0.4661,0.5049,他再|她在,0.2055,他在|它在,他再 / 他在 / 她在 / 它在
BAAI/bge-small-zh-v1.5,4,zi4 xing2,6,0.3622,0.3138,0.5756,0.5887,字形|自行,0.1487,字型|字形,字型 / 字形 / 字行 / 自行
BAAI/bge-small-zh-v1.5,5,ma3 li4,10,0.3858,0.3822,0.5914,0.6061,玛丽|马力,0.1784,玛利|玛莉,玛丽 / 玛利 / 玛莉 / 马利 / 马力
BAAI/bge-small-zh-v1.5,5,shi4 zhong1,10,0.3789,0.3965,0.4367,0.4566,侍中|是中,0.254,事中|是中,事中 / 侍中 / 室中 / 式中 / 是中
BAAI/bge-small-zh-v1.5,5,xing2 shi4,10,0.4682,0.5147,0.6353,0.6705,刑事|型式,0.1815,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
BAAI/bge-small-zh-v1.5,5,yi1 shi4,10,0.5366,0.6389,0.683,0.6935,一世|伊士,0.2476,一事|一是,一世 / 一事 / 一是 / 伊势 / 伊士
BAAI/bge-small-zh-v1.5,5,yi4 wei4,10,0.4016,0.3994,0.5346,0.5833,亦未|意味,0.2393,亦为|意为,亦为 / 亦未 / 意为 / 意味 / 译为
BAAI/bge-small-zh-v1.5,6,gong1 shi4,15,0.4934,0.5622,0.635,0.6835,公视|攻势,0.3018,公事|工事,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
BAAI/bge-small-zh-v1.5,6,shi4 wei4,15,0.4496,0.4044,0.6802,0.7142,侍卫|是为,0.2649,式为|是为,侍卫 / 式为 / 是为 / 是位 / 氏为 / 视为
BAAI/bge-small-zh-v1.5,6,zheng4 shi4,15,0.513,0.5928,0.6362,0.6645,正视|郑氏,0.2579,正式|正是,政事 / 正室 / 正式 / 正是 / 正视 / 郑氏
BAAI/bge-small-zh-v1.5,8,shi4 de,28,0.4528,0.4606,0.5116,0.569,士的|市的,0.3238,世的|事的,世的 / 事的 / 士的 / 室的 / 市的 / 式的 / 是的 / 氏的
