model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,jin3 jin3,1,0.5056,0.5056,0.5056,0.5056,仅仅|紧紧,0.5056,仅仅|紧紧,仅仅 / 紧紧
shibing624/text2vec-base-chinese,2,ren2 he2,1,0.4247,0.4247,0.4247,0.4247,人和|仁和,0.4247,人和|仁和,人和 / 仁和
shibing624/text2vec-base-chinese,2,sheng4 gong1,1,0.3018,0.3018,0.3018,0.3018,圣公|圣宫,0.3018,圣公|圣宫,圣公 / 圣宫
shibing624/text2vec-base-chinese,2,wu1 si1,1,0.2087,0.2087,0.2087,0.2087,乌思|乌斯,0.2087,乌思|乌斯,乌思 / 乌斯
shibing624/text2vec-base-chinese,2,xian4 nei4,1,0.3763,0.3763,0.3763,0.3763,县内|线内,0.3763,县内|线内,县内 / 线内
shibing624/text2vec-base-chinese,3,he2 li3,3,0.5504,0.5574,0.5717,0.5753,和李|荷里,0.5186,合理|和李,合理 / 和李 / 荷里
shibing624/text2vec-base-chinese,3,ke1 ke4,3,0.4783,0.6011,0.6199,0.6246,柯克|苛刻,0.2092,柯克|科克,柯克 / 科克 / 苛刻
shibing624/text2vec-base-chinese,3,quan2 li4,3,0.4938,0.576,0.6069,0.6146,全力|权利,0.2907,权利|权力,全力 / 权利 / 权力
shibing624/text2vec-base-chinese,3,shi2 cai2,3,0.5754,0.5724,0.6152,0.6259,时才|石材,0.528,石材|食材,时才 / 石材 / 食材
shibing624/text2vec-base-chinese,3,zuo4 de,3,0.4611,0.4858,0.5457,0.5607,做的|座的,0.3368,作的|做的,作的 / 做的 / 座的
shibing624/text2vec-base-chinese,4,lian2 jie2,6,0.5448,0.5901,0.7825,0.7891,廉洁|连结,0.1754,联结|连结,廉洁 / 联捷 / 联结 / 连结
shibing624/text2vec-base-chinese,4,liu2 shi4,6,0.5746,0.5578,0.7761,0.7772,刘氏|流式,0.3893,流士|流式,刘氏 / 流士 / 流式 / 流逝
shibing624/text2vec-base-chinese,4,shi4 li4,6,0.6012,0.5857,0.6758,0.6965,市立|视力,0.5181,势力|视力,势力 / 市立 / 示例 / 视力
shibing624/text2vec-base-chinese,4,ta1 zai4,6,0.2627,0.2739,0.3245,0.3294,他再|她在,0.1776,他再|他在,他再 / 他在 / 她在 / 它在
shibing624/text2vec-base-chinese,4,zi4 xing2,6,0.4355,0.4507,0.6572,0.6884,字行|自行,0.082,字型|字形,字型 / 字形 / 字行 / 自行
shibing624/text2vec-base-chinese,5,ma3 li4,10,0.4589,0.5305,0.6919,0.716,玛莉|马力,0.0879,玛丽|玛莉,玛丽 / 玛利 / 玛莉 / 马利 / 马力
shibing624/text2vec-base-chinese,5,shi4 zhong1,10,0.5165,0.5082,0.6393,0.6472,侍中|式中,0.3528,事中|是中,事中 / 侍中 / 室中 / 式中 / 是中
shibing624/text2vec-base-chinese,5,xing2 shi4,10,0.5103,0.5181,0.6218,0.6478,刑事|形式,0.2554,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
shibing624/text2vec-base-chinese,5,yi1 shi4,10,0.4849,0.4827,0.6015,0.6473,一世|伊士,0.3033,一事|一是,一世 / 一事 / 一是 / 伊势 / 伊士
shibing624/text2vec-base-chinese,5,yi4 wei4,10,0.4074,0.3803,0.5172,0.618,亦未|意为,0.2848,意为|译为,亦为 / 亦未 / 意为 / 意味 / 译为
shibing624/text2vec-base-chinese,6,gong1 shi4,15,0.5556,0.5279,0.6582,0.7292,公示|攻势,0.4421,公事|公视,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
shibing624/text2vec-base-chinese,6,shi4 wei4,15,0.4724,0.4886,0.6221,0.6288,氏为|视为,0.2436,是为|视为,侍卫 / 式为 / 是为 / 是位 / 氏为 / 视为
shibing624/text2vec-base-chinese,6,zheng4 shi4,15,0.5621,0.59,0.6768,0.7096,正视|郑氏,0.3474,正式|正是,政事 / 正室 / 正式 / 正是 / 正视 / 郑氏
shibing624/text2vec-base-chinese,8,shi4 de,28,0.4323,0.4173,0.521,0.5656,是的|氏的,0.343,世的|士的,世的 / 事的 / 士的 / 室的 / 市的 / 式的 / 是的 / 氏的
