token_id	raw_token	decoded_token	clean_token	label	reason	unit_count
0	!	!	!	EX	punctuation/symbol/empty token	1
1	""""	""""	""""	EX	punctuation/symbol/empty token	1
2	#	#	#	EX	punctuation/symbol/empty token	1
3	$	$	$	EX	punctuation/symbol/empty token	1
4	%	%	%	EX	punctuation/symbol/empty token	1
5	&	&	&	EX	punctuation/symbol/empty token	1
6	'	'	'	EX	punctuation/symbol/empty token	1
7	(	(	(	EX	punctuation/symbol/empty token	1
8	)	)	)	EX	punctuation/symbol/empty token	1
9	*	*	*	EX	punctuation/symbol/empty token	1
10	+	+	+	EX	punctuation/symbol/empty token	1
11	,	,	,	EX	punctuation/symbol/empty token	1
12	-	-	-	EX	punctuation/symbol/empty token	1
13	.	.	.	EX	punctuation/symbol/empty token	1
14	/	/	/	EX	punctuation/symbol/empty token	1
15	0	0	0	EX	pure numeric inventory token	1
16	1	1	1	EX	pure numeric inventory token	1
17	2	2	2	EX	pure numeric inventory token	1
18	3	3	3	EX	pure numeric inventory token	1
19	4	4	4	EX	pure numeric inventory token	1
20	5	5	5	EX	pure numeric inventory token	1
21	6	6	6	EX	pure numeric inventory token	1
22	7	7	7	EX	pure numeric inventory token	1
23	8	8	8	EX	pure numeric inventory token	1
24	9	9	9	EX	pure numeric inventory token	1
25	:	:	:	EX	punctuation/symbol/empty token	1
26	;	;	;	EX	punctuation/symbol/empty token	1
27	=	=	=	EX	punctuation/symbol/empty token	1
28	?	?	?	EX	punctuation/symbol/empty token	1
29	@	@	@	EX	punctuation/symbol/empty token	1
30	A	A	A	EX	non-CJK token excluded from Chinese morphology	1
31	B	B	B	EX	non-CJK token excluded from Chinese morphology	1
32	C	C	C	EX	non-CJK token excluded from Chinese morphology	1
33	D	D	D	EX	non-CJK token excluded from Chinese morphology	1
34	E	E	E	EX	non-CJK token excluded from Chinese morphology	1
35	F	F	F	EX	non-CJK token excluded from Chinese morphology	1
36	G	G	G	EX	non-CJK token excluded from Chinese morphology	1
37	H	H	H	EX	non-CJK token excluded from Chinese morphology	1
38	I	I	I	EX	non-CJK token excluded from Chinese morphology	1
39	J	J	J	EX	non-CJK token excluded from Chinese morphology	1
40	K	K	K	EX	non-CJK token excluded from Chinese morphology	1
41	L	L	L	EX	non-CJK token excluded from Chinese morphology	1
42	M	M	M	EX	non-CJK token excluded from Chinese morphology	1
43	N	N	N	EX	non-CJK token excluded from Chinese morphology	1
44	O	O	O	EX	non-CJK token excluded from Chinese morphology	1
45	P	P	P	EX	non-CJK token excluded from Chinese morphology	1
46	Q	Q	Q	EX	non-CJK token excluded from Chinese morphology	1
47	R	R	R	EX	non-CJK token excluded from Chinese morphology	1
48	S	S	S	EX	non-CJK token excluded from Chinese morphology	1
49	T	T	T	EX	non-CJK token excluded from Chinese morphology	1
50	U	U	U	EX	non-CJK token excluded from Chinese morphology	1
51	V	V	V	EX	non-CJK token excluded from Chinese morphology	1
52	W	W	W	EX	non-CJK token excluded from Chinese morphology	1
53	X	X	X	EX	non-CJK token excluded from Chinese morphology	1
54	Y	Y	Y	EX	non-CJK token excluded from Chinese morphology	1
55	Z	Z	Z	EX	non-CJK token excluded from Chinese morphology	1
56	[	[	[	EX	punctuation/symbol/empty token	1
57	\	\	\	EX	punctuation/symbol/empty token	1
58	]	]	]	EX	punctuation/symbol/empty token	1
59	^	^	^	EX	punctuation/symbol/empty token	1
60	_	_	_	EX	punctuation/symbol/empty token	1
61	`	`	`	EX	punctuation/symbol/empty token	1
62	a	a	a	EX	non-CJK token excluded from Chinese morphology	1
63	b	b	b	EX	non-CJK token excluded from Chinese morphology	1
64	c	c	c	EX	non-CJK token excluded from Chinese morphology	1
65	d	d	d	EX	non-CJK token excluded from Chinese morphology	1
66	e	e	e	EX	non-CJK token excluded from Chinese morphology	1
67	f	f	f	EX	non-CJK token excluded from Chinese morphology	1
68	g	g	g	EX	non-CJK token excluded from Chinese morphology	1
69	h	h	h	EX	non-CJK token excluded from Chinese morphology	1
70	i	i	i	EX	non-CJK token excluded from Chinese morphology	1
71	j	j	j	EX	non-CJK token excluded from Chinese morphology	1
