Pinyin toneless 64k vocab morphology sample for manual review
Source: decoded_superTokenizers_2048_subset100k/pinyin_toneless_subset100k_superbpe_64000_decoded.json
Random seed: 20260429
Important: this is a tentative automatic heuristic, not final annotation.

Counts: SV=47 WV=42 IV=3 EX=8 classified_total=92
strict_valid_rate=0.5109
inclusive_valid_rate=0.9674
invalid_rate=0.0326

idx	label	raw_token	clean_token	reason
001	SV	' qu '	'qu'	dictionary hit
002	WV	'zhan lie xun yang jian '	'zhan lie xun yang jian'	long sequence decomposable into 2 known pieces
003	WV	' li shu li wei fu zhou de '	'li shu li wei fu zhou de'	long sequence decomposable into 4 known pieces
004	SV	'cuo shang '	'cuo shang'	dictionary hit
005	SV	'ning xia '	'ning xia'	dictionary hit
006	SV	'zi xin '	'zi xin'	dictionary hit
007	SV	' yi ling '	'yi ling'	dictionary hit
008	SV	'   cheng '	'cheng'	dictionary hit
009	WV	'zui hou yi '	'zui hou yi'	decomposable: zui + houyi
010	SV	'she hui bao zhang '	'she hui bao zhang'	dictionary hit
011	SV	'meng shou '	'meng shou'	dictionary hit
012	WV	'dui huo de '	'dui huo de'	decomposable: dui + huode
013	SV	' gong bu '	'gong bu'	dictionary hit
014	WV	'du jiang '	'du jiang'	decomposable: du + jiang
015	SV	' zi wen '	'zi wen'	dictionary hit
016	WV	'ce wei '	'ce wei'	decomposable: ce + wei
017	SV	'pei'	'pei'	dictionary hit
018	WV	'mei zhou liu '	'mei zhou liu'	decomposable: mei + zhouliu
019	SV	'   cong '	'cong'	dictionary hit
020	SV	' yue shi '	'yue shi'	dictionary hit
021	SV	'   zhe ge '	'zhe ge'	dictionary hit
022	WV	'huai yi shi '	'huai yi shi'	decomposable: huai + yishi
023	WV	'wang zi de '	'wang zi de'	decomposable: wang + zide
024	SV	'   he'	'he'	dictionary hit
025	SV	'dui fu '	'dui fu'	dictionary hit
026	WV	'jiang zi ji '	'jiang zi ji'	decomposable: jiang + ziji
027	WV	'da lian meng'	'da lian meng'	decomposable: da + lianmeng
028	SV	' da po '	'da po'	dictionary hit
029	WV	'mian shang de '	'mian shang de'	legal pinyin syllable sequence, no direct dictionary hit
030	WV	' gong cheng yu '	'gong cheng yu'	decomposable: gong + chengyu
031	WV	'ye zhu jian '	'ye zhu jian'	decomposable: ye + zhujian
032	SV	'bei jian '	'bei jian'	dictionary hit
033	WV	'yan se de '	'yan se de'	decomposable: yanse + de
034	WV	'zai ri ben '	'zai ri ben'	decomposable: zai + riben
035	SV	' jian cha'	'jian cha'	dictionary hit
036	WV	' huo pu jin si '	'huo pu jin si'	legal pinyin syllable sequence, no direct dictionary hit
037	WV	'la bu la '	'la bu la'	decomposable: labu + la
038	SV	' qu sheng '	'qu sheng'	dictionary hit
039	EX	'di 1 '	'di 1'	contains non-pinyin characters
040	WV	'dou hui bei '	'dou hui bei'	legal pinyin syllable sequence, no direct dictionary hit
041	WV	'yan yi ming '	'yan yi ming'	decomposable: yan + yiming
042	SV	'   zao qi '	'zao qi'	dictionary hit
043	WV	'zhou di tie '	'zhou di tie'	decomposable: zhou + ditie
044	SV	'zheng nian '	'zheng nian'	dictionary hit
045	SV	' shou xian '	'shou xian'	dictionary hit
046	SV	'ba bi lun '	'ba bi lun'	dictionary hit
047	WV	' er lai de '	'er lai de'	decomposable: er + laide
048	SV	' jiu jiang '	'jiu jiang'	dictionary hit
049	EX	'   Mur'	'Mur'	foreign/cased Latin token excluded for pinyin morphology
050	WV	' qi zhong yi '	'qi zhong yi'	decomposable: qi + zhongyi
051	SV	' ji zhong ying '	'ji zhong ying'	dictionary hit
052	WV	'zhuo de '	'zhuo de'	decomposable: zhuo + de
053	WV	' wan yuan ren min bi '	'wan yuan ren min bi'	long sequence decomposable into 2 known pieces
054	WV	'fa sheng le '	'fa sheng le'	decomposable: fasheng + le
055	WV	'ge zi xi '	'ge zi xi'	decomposable: ge + zixi
056	WV	'gong zuo ling dao xiao zu '	'gong zuo ling dao xiao zu'	long sequence decomposable into 2 known pieces
057	SV	'xun luo '	'xun luo'	dictionary hit
058	SV	'   qing hua '	'qing hua'	dictionary hit
059	EX	' 1905 nian '	'1905 nian'	contains non-pinyin characters
060	SV	'gu er yuan '	'gu er yuan'	dictionary hit
061	EX	'Ru'	'Ru'	foreign/cased Latin token excluded for pinyin morphology
062	IV	'ls '	'ls'	space-separated form contains illegal pinyin syllable
063	SV	'   jun '	'jun'	dictionary hit
064	SV	' lian bang '	'lian bang'	dictionary hit
065	SV	'chang gui sai '	'chang gui sai'	dictionary hit
066	WV	'shen zai '	'shen zai'	decomposable: shen + zai
067	WV	'chu yun '	'chu yun'	decomposable: chu + yun
068	WV	' wei yu gai sheng zhong bu '	'wei yu gai sheng zhong bu'	long sequence decomposable into 4 known pieces
069	IV	'tani'	'tani'	space-separated form contains illegal pinyin syllable
070	EX	' yu 2013'	'yu 2013'	contains non-pinyin characters
071	SV	'e tu man di guo '	'e tu man di guo'	dictionary hit
072	SV	'jing xi '	'jing xi'	dictionary hit
