Token Category,Chinese 8K,Chinese 16K,Chinese 32K,Chinese 64K,Pinyin-Toneless 8K,Pinyin-Toneless 16K,Pinyin-Toneless 32K,Pinyin-Toneless 64K,Pinyin-Toned 8K,Pinyin-Toned 16K,Pinyin-Toned 32K,Pinyin-Toned 64K,Pinyin-Diacritic 8K,Pinyin-Diacritic 16K,Pinyin-Diacritic 32K,Pinyin-Diacritic 64K
Base inventory,,,,,,,,,,,,,,,,
SINGLE LETTERS (A-Z),52 (94),52 (104),52 (117),52 (132),52 (168),52 (237),52 (309),52 (343),52 (161),52 (234),52 (299),52 (342),52 (163),52 (232),52 (301),52 (342)
SINGLE CJK CHARACTERS,2378 (2418),3061 (3181),3769 (4021),4515 (4937),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
DIGITS,155 (185),247 (295),312 (394),558 (696),423 (556),423 (735),425 (985),486 (1392),296 (422),296 (587),315 (825),398 (1217),294 (420),294 (587),314 (826),397 (1215)
PUNCTUATION,131 (131),201 (202),308 (309),471 (472),67 (68),67 (70),74 (77),95 (98),58 (59),62 (65),70 (73),94 (97),58 (59),62 (65),70 (73),94 (97)
PURE LATIN COMBINATIONS,274 (289),713 (785),1541 (1753),3194 (3780),1447 (2410),1453 (2947),1626 (3817),2757 (5965),1652 (3268),1699 (4085),2179 (5488),3357 (8005),1644 (3256),1692 (4078),2174 (5480),3341 (8003)
Multi-syllable / multi-character tokens,,,,,,,,,,,,,,,,
2-SYLLABLE / 2-CHAR,3443 (3483),7589 (7722),15000 (15320),27294 (28053),3325 (3901),7099 (8995),12817 (17313),20900 (30400),2545 (3326),6043 (8417),11851 (17462),21466 (33203),2546 (3327),6044 (8418),11851 (17460),21468 (33200)
3-SYLLABLE / 3-CHAR,556 (556),1946 (1949),5345 (5367),13200 (13293),364 (388),1537 (1680),4880 (5490),12888 (14811),258 (295),1224 (1403),3639 (4362),9392 (11660),259 (296),1226 (1404),3637 (4361),9390 (11658)
4-SYLLABLE / 4-CHAR,95 (97),442 (446),1684 (1698),5696 (5739),58 (63),324 (353),1263 (1392),4312 (4807),50 (54),256 (287),973 (1106),3393 (3990),50 (54),256 (287),974 (1107),3393 (3991)
5-SYLLABLE / 5-CHAR,23 (23),100 (100),389 (389),1340 (1343),29 (30),77 (79),333 (344),1068 (1145),23 (23),61 (64),248 (263),867 (963),23 (23),61 (64),247 (262),867 (963)
6+-SYLLABLE / 6+-CHAR,40 (42),121 (125),386 (395),1335 (1348),36 (39),108 (113),387 (400),1251 (1309),32 (34),102 (106),303 (320),1026 (1098),32 (34),102 (106),302 (319),1026 (1098)
Mixed tokens,,,,,,,,,,,,,,,,
MIXED (LATIN + CJK),5 (5),12 (12),49 (49),157 (161),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
Other,,,,,,,,,,,,,,,,
OTHER / UNKNOWN,242 (265),593 (652),1595 (1734),3331 (3545),204 (245),479 (647),1359 (1682),2844 (3471),198 (233),461 (615),1338 (1624),2619 (3180),206 (241),469 (623),1346 (1632),2627 (3187)
Total,7394 (7588),15077 (15573),30430 (31546),61143 (63499),6001 (7868),11608 (15856),23197 (31809),46602 (63741),5164 (7875),10256 (15863),20968 (31822),42663 (63755),5164 (7873),10258 (15864),20967 (31821),42653 (63754)
