N,pair_index_within_N,b_token,source_token_count_for_pair,a_tokens_json
2,1,1 ying chi,2,"[""1英呎"", ""1英尺""]"
2,2,2 jia,2,"[""2家"", ""2架""]"
2,3,2 shi,2,"[""2时"", ""2是""]"
2,4,3 jia,2,"[""3家"", ""3架""]"
2,5,4 jia,2,"[""4家"", ""4架""]"
2,6,6 jia,2,"[""6家"", ""6架""]"
2,7,a da,2,"[""ada"", ""阿达""]"
2,8,a de,2,"[""a de"", ""阿德""]"
2,9,a di,2,"[""adi"", ""阿迪""]"
2,10,a er bei,2,"[""阿尔卑"", ""阿尔贝""]"
2,11,a ji,2,"[""阿吉"", ""阿基""]"
2,12,a ka,2,"[""aka"", ""阿卡""]"
2,13,a ke,2,"[""ake"", ""阿克""]"
2,14,a la,2,"[""ala"", ""阿拉""]"
2,15,a lan,2,"[""alan"", ""阿兰""]"
2,16,a lei,2,"[""阿勒"", ""阿雷""]"
2,17,a man,2,"[""aman"", ""阿曼""]"
2,18,a mei,2,"[""阿梅"", ""阿美""]"
2,19,a na,2,"[""ana"", ""阿纳""]"
2,20,a qi,2,"[""阿奇"", ""阿齐""]"
2,21,a se,2,"[""ase"", ""阿瑟""]"
2,22,a si,2,"[""asi"", ""阿斯""]"
2,23,a ta,2,"[""ata"", ""阿塔""]"
2,24,a te,2,"[""ate"", ""阿特""]"
2,25,a ti,2,"[""ati"", ""阿提""]"
2,26,a wei,2,"[""阿维"", ""阿韦""]"
2,27,ai di,2,"[""埃迪"", ""艾迪""]"
2,28,ai ke,2,"[""埃克"", ""艾克""]"
2,29,ai la,2,"[""埃拉"", ""艾拉""]"
2,30,ai li si,2,"[""爱丽丝"", ""艾利斯""]"
2,31,ai lun,2,"[""爱伦"", ""艾伦""]"
2,32,ai ma,2,"[""埃马"", ""艾玛""]"
2,33,ai mei,2,"[""暧昧"", ""艾美""]"
2,34,ai mi,2,"[""埃米"", ""艾米""]"
2,35,ai ren,2,"[""爱人"", ""矮人""]"
2,36,ai si,2,"[""埃斯"", ""艾斯""]"
2,37,ai xin,2,"[""爱心"", ""爱新""]"
2,38,ai yu,2,"[""爱与"", ""碍于""]"
2,39,ai zhi,2,"[""爱之"", ""爱知""]"
2,40,ai zi,2,"[""埃兹"", ""爱滋""]"
2,41,ai zi bing,2,"[""爱滋病"", ""艾滋病""]"
2,42,an di,2,"[""安地"", ""安迪""]"
2,43,an di si,2,"[""安地斯"", ""安第斯""]"
2,44,an ding,2,"[""anding"", ""安定""]"
2,45,an ge,2,"[""ange"", ""安格""]"
2,46,an ji suan,2,"[""氨基酸"", ""胺基酸""]"
2,47,an kang,2,"[""安康"", ""𩽾𩾌""]"
2,48,an lian,2,"[""安联"", ""暗恋""]"
2,49,an qing,2,"[""安庆"", ""案情""]"
2,50,an suan,2,"[""氨酸"", ""胺酸""]"
2,51,an ti,2,"[""anti"", ""安提""]"
2,52,ani,2,"[""ani"", ""阿尼""]"
2,53,ao de,2,"[""奥得"", ""奥德""]"
2,54,ao ke,2,"[""奥克"", ""澳科""]"
2,55,ba bi,2,"[""巴比"", ""芭比""]"
2,56,ba di,2,"[""巴蒂"", ""巴迪""]"
2,57,ba lei,2,"[""巴勒"", ""芭蕾""]"
2,58,ba luo,2,"[""巴洛"", ""巴罗""]"
2,59,ba mian,2,"[""八面"", ""罢免""]"
2,60,ba na,2,"[""巴拿"", ""巴纳""]"
2,61,ba qi,2,"[""八旗"", ""巴奇""]"
2,62,ba sai long na,2,"[""巴塞隆拿"", ""巴塞隆纳""]"
2,63,ba si,2,"[""巴斯"", ""拔斯""]"
2,64,ba xian,2,"[""八仙"", ""巴县""]"
2,65,ba yi,2,"[""八一"", ""巴伊""]"
2,66,ba zi,2,"[""八字"", ""巴兹""]"
2,67,bai er,2,"[""拜尔"", ""拜耳""]"
2,68,bai fang,2,"[""拜访"", ""摆放""]"
2,69,bai fen,2,"[""白粉"", ""百分""]"
2,70,bai he,2,"[""白河"", ""百合""]"
2,71,bai hu,2,"[""白虎"", ""百户""]"
2,72,bai hua,2,"[""白话"", ""百花""]"
2,73,bai ling,2,"[""白令"", ""百灵""]"
2,74,bai qi,2,"[""白旗"", ""白起""]"
2,75,bai ri,2,"[""白日"", ""百日""]"
2,76,bai se,2,"[""白色"", ""百色""]"
2,77,bai xing,2,"[""白星"", ""百姓""]"
2,78,bai xue,2,"[""白血"", ""白雪""]"
2,79,bai yang,2,"[""柏杨"", ""白杨""]"
2,80,bai yi,2,"[""白蚁"", ""白衣""]"
2,81,ban ben,2,"[""坂本"", ""版本""]"
2,82,ban bu,2,"[""半部"", ""颁布""]"
2,83,ban dao,2,"[""半岛"", ""搬到""]"
2,84,ban fa,2,"[""办法"", ""颁发""]"
2,85,ban he,2,"[""板和"", ""版和""]"
2,86,ban jia,2,"[""搬家"", ""班加""]"
2,87,ban jing,2,"[""半径"", ""坂井""]"
2,88,ban kuai,2,"[""斑块"", ""板块""]"
2,89,ban qiu,2,"[""半球"", ""板球""]"
2,90,ban shen,2,"[""半身"", ""阪神""]"
2,91,ban shi,2,"[""办事"", ""班师""]"
2,92,ban xing,2,"[""伴星"", ""颁行""]"
2,93,bang zhu,2,"[""帮主"", ""帮助""]"
2,94,bao biao,2,"[""保镖"", ""保镳""]"
2,95,bao bo,2,"[""鲍伯"", ""鲍勃""]"
2,96,bao chi,2,"[""保持"", ""抱持""]"
