N,pair_count,source_token_count,a_vocab_size,b_vocab_size,mapped_a_count,one_to_one_source_count,many_to_one_source_count,many_to_one_pair_count,independent_a_count,independent_b_count
2,3286,6572,61142,46601,45407,28045,17362,5232,15735,13324
3,979,2937,61142,46601,45407,28045,17362,5232,15735,13324
4,371,1484,61142,46601,45407,28045,17362,5232,15735,13324
5,156,780,61142,46601,45407,28045,17362,5232,15735,13324
6,91,546,61142,46601,45407,28045,17362,5232,15735,13324
7,59,413,61142,46601,45407,28045,17362,5232,15735,13324
8,34,272,61142,46601,45407,28045,17362,5232,15735,13324
9,37,333,61142,46601,45407,28045,17362,5232,15735,13324
10,25,250,61142,46601,45407,28045,17362,5232,15735,13324
11,26,286,61142,46601,45407,28045,17362,5232,15735,13324
12,22,264,61142,46601,45407,28045,17362,5232,15735,13324
13,17,221,61142,46601,45407,28045,17362,5232,15735,13324
14,15,210,61142,46601,45407,28045,17362,5232,15735,13324
15,14,210,61142,46601,45407,28045,17362,5232,15735,13324
16,10,160,61142,46601,45407,28045,17362,5232,15735,13324
17,9,153,61142,46601,45407,28045,17362,5232,15735,13324
18,11,198,61142,46601,45407,28045,17362,5232,15735,13324
19,12,228,61142,46601,45407,28045,17362,5232,15735,13324
20,6,120,61142,46601,45407,28045,17362,5232,15735,13324
21,6,126,61142,46601,45407,28045,17362,5232,15735,13324
22,4,88,61142,46601,45407,28045,17362,5232,15735,13324
23,3,69,61142,46601,45407,28045,17362,5232,15735,13324
24,6,144,61142,46601,45407,28045,17362,5232,15735,13324
26,2,52,61142,46601,45407,28045,17362,5232,15735,13324
27,4,108,61142,46601,45407,28045,17362,5232,15735,13324
28,4,112,61142,46601,45407,28045,17362,5232,15735,13324
29,1,29,61142,46601,45407,28045,17362,5232,15735,13324
30,2,60,61142,46601,45407,28045,17362,5232,15735,13324
31,1,31,61142,46601,45407,28045,17362,5232,15735,13324
32,1,32,61142,46601,45407,28045,17362,5232,15735,13324
33,2,66,61142,46601,45407,28045,17362,5232,15735,13324
35,1,35,61142,46601,45407,28045,17362,5232,15735,13324
36,3,108,61142,46601,45407,28045,17362,5232,15735,13324
44,1,44,61142,46601,45407,28045,17362,5232,15735,13324
45,1,45,61142,46601,45407,28045,17362,5232,15735,13324
48,1,48,61142,46601,45407,28045,17362,5232,15735,13324
49,1,49,61142,46601,45407,28045,17362,5232,15735,13324
52,2,104,61142,46601,45407,28045,17362,5232,15735,13324
53,1,53,61142,46601,45407,28045,17362,5232,15735,13324
54,1,54,61142,46601,45407,28045,17362,5232,15735,13324
55,1,55,61142,46601,45407,28045,17362,5232,15735,13324
62,1,62,61142,46601,45407,28045,17362,5232,15735,13324
74,1,74,61142,46601,45407,28045,17362,5232,15735,13324
77,1,77,61142,46601,45407,28045,17362,5232,15735,13324
