N,pair_index_within_N,c_token,source_token_count_for_pair,a_tokens_json
2,1,1 ying1 chi3,2,"[""1英呎"", ""1英尺""]"
2,2,a,2,"[""a"", ""啊""]"
2,3,a1 ma3,2,"[""阿玛"", ""阿马""]"
2,4,a1 qi2,2,"[""阿奇"", ""阿齐""]"
2,5,a1 wei2,2,"[""阿维"", ""阿韦""]"
2,6,ai1 li4,2,"[""埃利"", ""埃莉""]"
2,7,ai4 de2,2,"[""爱德"", ""艾德""]"
2,8,ai4 er3,2,"[""爱尔"", ""艾尔""]"
2,9,ai4 li4 si1,2,"[""爱丽丝"", ""艾利斯""]"
2,10,ai4 lun2,2,"[""爱伦"", ""艾伦""]"
2,11,ai4 xin1,2,"[""爱心"", ""爱新""]"
2,12,ai4 zhi1,2,"[""爱之"", ""爱知""]"
2,13,ai4 zi1 bing4,2,"[""爱滋病"", ""艾滋病""]"
2,14,an1 di4 si1,2,"[""安地斯"", ""安第斯""]"
2,15,an1 fu3,2,"[""安府"", ""安抚""]"
2,16,an1 kang1,2,"[""安康"", ""𩽾𩾌""]"
2,17,an3,2,"[""俺"", ""铵""]"
2,18,an4 jian4,2,"[""按键"", ""案件""]"
2,19,an4 zhong1,2,"[""暗中"", ""案中""]"
2,20,ao4 de2,2,"[""奥得"", ""奥德""]"
2,21,ao4 li4,2,"[""奥利"", ""奥莉""]"
2,22,ba,2,"[""ba"", ""吧""]"
2,23,ba1 ba1,2,"[""巴巴"", ""芭芭""]"
2,24,ba1 bi3,2,"[""巴比"", ""芭比""]"
2,25,ba1 da2,2,"[""八达"", ""巴达""]"
2,26,ba1 de2,2,"[""八德"", ""巴德""]"
2,27,ba1 li2,2,"[""巴厘"", ""巴黎""]"
2,28,ba1 li3,2,"[""八里"", ""巴里""]"
2,29,ba1 li4,2,"[""巴利"", ""巴力""]"
2,30,ba1 qi2,2,"[""八旗"", ""巴奇""]"
2,31,ba1 shi4,2,"[""八世"", ""巴士""]"
2,32,ba1 yi1,2,"[""八一"", ""巴伊""]"
2,33,ba2,2,"[""拔"", ""跋""]"
2,34,bai4 er3,2,"[""拜尔"", ""拜耳""]"
2,35,ban1 de,2,"[""班的"", ""般的""]"
2,36,ban1 ji1,2,"[""扳机"", ""班机""]"
2,37,ban1 jia1,2,"[""搬家"", ""班加""]"
2,38,ban3 ben3,2,"[""坂本"", ""版本""]"
2,39,ban3 de,2,"[""板的"", ""版的""]"
2,40,ban3 he2,2,"[""板和"", ""版和""]"
2,41,bao2,2,"[""薄"", ""雹""]"
2,42,bao3 an1,2,"[""保安"", ""宝安""]"
2,43,bao3 biao1,2,"[""保镖"", ""保镳""]"
2,44,bao3 li4,2,"[""保利"", ""宝丽""]"
2,45,bao3 shi2,2,"[""保时"", ""宝石""]"
2,46,bao4 bo2,2,"[""鲍伯"", ""鲍勃""]"
2,47,bao4 chou2,2,"[""报仇"", ""报酬""]"
2,48,bao4 dao4,2,"[""报到"", ""报道""]"
2,49,bao4 fa1,2,"[""暴发"", ""爆发""]"
2,50,bao4 fu4,2,"[""报复"", ""抱负""]"
2,51,bei3 jie1,2,"[""北接"", ""北街""]"
2,52,bei3 ka3 luo2 lai2 na4 zhou1,2,"[""北卡罗来纳州"", ""北卡罗莱纳州""]"
2,53,bei3 lin2,2,"[""北临"", ""北邻""]"
2,54,bei3 lu4,2,"[""北路"", ""北陆""]"
2,55,bei3 shi4,2,"[""北势"", ""北市""]"
2,56,bei4 pan4,2,"[""背叛"", ""被判""]"
2,57,bei4 qi2,2,"[""背鳍"", ""被其""]"
2,58,bei4 si1,2,"[""贝丝"", ""贝斯""]"
2,59,ben1,2,"[""奔"", ""贲""]"
2,60,ben3,2,"[""本"", ""苯""]"
2,61,ben3 ji2,2,"[""本级"", ""本集""]"
2,62,ben3 ji4,2,"[""本季"", ""本纪""]"
2,63,ben3 shi4,2,"[""本市"", ""本是""]"
2,64,ben3 wei4,2,"[""本为"", ""本位""]"
2,65,ben3 xian4,2,"[""本县"", ""本线""]"
2,66,ben3 xing4,2,"[""本姓"", ""本性""]"
2,67,beng1,2,"[""崩"", ""绷""]"
2,68,beng4,2,"[""泵"", ""蹦""]"
2,69,bi3 ji4,2,"[""笔记"", ""笔迹""]"
2,70,bi3 li4,2,"[""比例"", ""比利""]"
2,71,bi3 te4,2,"[""彼特"", ""比特""]"
2,72,bi4 xu1,2,"[""必需"", ""必须""]"
2,73,bian1 cheng2,2,"[""编成"", ""编程""]"
2,74,bian1 qu1,2,"[""编曲"", ""边区""]"
2,75,bian1 wei4,2,"[""编为"", ""边为""]"
2,76,bian1 xing2,2,"[""边形"", ""鞭刑""]"
2,77,bian4 jie2,2,"[""便捷"", ""变节""]"
2,78,bian4 shi4,2,"[""便士"", ""便是""]"
2,79,bian4 xiang4,2,"[""便向"", ""变相""]"
2,80,bian4 yi3,2,"[""便以"", ""便已""]"
2,81,bing1,2,"[""兵"", ""冰""]"
2,82,bing1 yuan2,2,"[""兵员"", ""冰原""]"
2,83,bing4,2,"[""并"", ""病""]"
2,84,bing4 wei4,2,"[""并为"", ""并未""]"
2,85,bing4 yi3,2,"[""并以"", ""并已""]"
2,86,bing4 yin1,2,"[""并因"", ""病因""]"
2,87,bing4 zhong4,2,"[""并重"", ""病重""]"
2,88,bo,2,"[""bo"", ""卜""]"
2,89,bo1 chu1,2,"[""拨出"", ""播出""]"
2,90,bo1 er3,2,"[""波尔"", ""玻尔""]"
2,91,bo1 li2,2,"[""剥离"", ""玻璃""]"
2,92,bo1 li4,2,"[""波利"", ""玻利""]"
2,93,bo1 xi1,2,"[""波希"", ""波西""]"
2,94,bo1 xi1 mi3 ya4,2,"[""波希米亚"", ""波西米亚""]"
2,95,bo1 yin1,2,"[""播音"", ""波音""]"
2,96,bo2 de2,2,"[""伯德"", ""博德""]"
2,97,bo2 er3,2,"[""伯尔"", ""博尔""]"
2,98,bo2 ge2,2,"[""伯格"", ""博格""]"
2,99,bo2 la1,2,"[""勃拉"", ""博拉""]"
2,100,bo2 luo2,2,"[""勃罗"", ""博罗""]"
2,101,bo2 si1,2,"[""伯斯"", ""博斯""]"
2,102,bo2 te4,2,"[""伯特"", ""博特""]"
2,103,bu2 hui4 zai4,2,"[""不会再"", ""不会在""]"
2,104,bu3 shi2,2,"[""捕食"", ""补时""]"
2,105,bu4 bian4,2,"[""不便"", ""不变""]"
2,106,bu4 da2,2,"[""不达"", ""布达""]"
2,107,bu4 dan1,2,"[""不丹"", ""不单""]"
2,108,bu4 dao4,2,"[""布道"", ""步道""]"
2,109,bu4 fen4,2,"[""部份"", ""部分""]"
2,110,bu4 fu2,2,"[""不服"", ""不符""]"
2,111,bu4 jia1,2,"[""不佳"", ""不加""]"
2,112,bu4 jun1,2,"[""不均"", ""步军""]"
2,113,bu4 lai2,2,"[""不来"", ""布莱""]"
2,114,bu4 li3,2,"[""不理"", ""布里""]"
2,115,bu4 liang2,2,"[""不良"", ""布良""]"
2,116,bu4 liao4,2,"[""不料"", ""布料""]"
2,117,bu4 lun2,2,"[""不伦"", ""布伦""]"
2,118,bu4 luo4,2,"[""布洛"", ""部落""]"
2,119,bu4 man3,2,"[""不满"", ""布满""]"
2,120,bu4 neng2 zai4,2,"[""不能再"", ""不能在""]"
2,121,bu4 qu1,2,"[""不屈"", ""部曲""]"
2,122,bu4 ru4,2,"[""不入"", ""步入""]"
2,123,bu4 she4,2,"[""不设"", ""布设""]"
2,124,bu4 shen4,2,"[""不慎"", ""不甚""]"
2,125,bu4 shi1,2,"[""不失"", ""布施""]"
2,126,bu4 shi2,2,"[""不实"", ""不时""]"
2,127,bu4 shu3,2,"[""部属"", ""部署""]"
2,128,bu4 xia4,2,"[""不下"", ""部下""]"
2,129,bu4 xing2,2,"[""不行"", ""步行""]"
2,130,bu4 yi1,2,"[""不一"", ""布依""]"
2,131,bu4 yi3,2,"[""不以"", ""不已""]"
2,132,bu4 zhang3,2,"[""不长"", ""部长""]"
2,133,bu4 zhen4,2,"[""不振"", ""布阵""]"
2,134,bu4 zhi3,2,"[""不只"", ""不止""]"
2,135,bu4 zhi4,2,"[""不治"", ""布置""]"
2,136,bu4 zu2,2,"[""不足"", ""部族""]"
2,137,bu4 zuo4,2,"[""不作"", ""不做""]"
2,138,cai2 wu4,2,"[""财务"", ""财物""]"
2,139,cai4,2,"[""菜"", ""蔡""]"
2,140,can1,2,"[""参"", ""餐""]"
2,141,cao1,2,"[""操"", ""糙""]"
2,142,ceng2,2,"[""层"", ""曾""]"
2,143,ceng2 wei4,2,"[""层为"", ""曾为""]"
