N,pair_index_within_N,d_token,source_token_count_for_pair,a_tokens_json
2,1,1 yīng chǐ,2,"[""1英呎"", ""1英尺""]"
2,2,a,2,"[""a"", ""啊""]"
2,3,ba,2,"[""ba"", ""吧""]"
2,4,biàn jié,2,"[""便捷"", ""变节""]"
2,5,biàn shì,2,"[""便士"", ""便是""]"
2,6,biàn xiàng,2,"[""便向"", ""变相""]"
2,7,biàn yǐ,2,"[""便以"", ""便已""]"
2,8,biān chéng,2,"[""编成"", ""编程""]"
2,9,biān qū,2,"[""编曲"", ""边区""]"
2,10,biān wèi,2,"[""编为"", ""边为""]"
2,11,biān xíng,2,"[""边形"", ""鞭刑""]"
2,12,bo,2,"[""bo"", ""卜""]"
2,13,bài ěr,2,"[""拜尔"", ""拜耳""]"
2,14,bào bó,2,"[""鲍伯"", ""鲍勃""]"
2,15,bào chóu,2,"[""报仇"", ""报酬""]"
2,16,bào dào,2,"[""报到"", ""报道""]"
2,17,bào fù,2,"[""报复"", ""抱负""]"
2,18,bào fā,2,"[""暴发"", ""爆发""]"
2,19,bá,2,"[""拔"", ""跋""]"
2,20,báo,2,"[""薄"", ""雹""]"
2,21,bèi pàn,2,"[""背叛"", ""被判""]"
2,22,bèi qí,2,"[""背鳍"", ""被其""]"
2,23,bèi sī,2,"[""贝丝"", ""贝斯""]"
2,24,bèng,2,"[""泵"", ""蹦""]"
2,25,bì xū,2,"[""必需"", ""必须""]"
2,26,bìng,2,"[""并"", ""病""]"
2,27,bìng wèi,2,"[""并为"", ""并未""]"
2,28,bìng yīn,2,"[""并因"", ""病因""]"
2,29,bìng yǐ,2,"[""并以"", ""并已""]"
2,30,bìng zhòng,2,"[""并重"", ""病重""]"
2,31,bó dé,2,"[""伯德"", ""博德""]"
2,32,bó gé,2,"[""伯格"", ""博格""]"
2,33,bó luó,2,"[""勃罗"", ""博罗""]"
2,34,bó lā,2,"[""勃拉"", ""博拉""]"
2,35,bó sī,2,"[""伯斯"", ""博斯""]"
2,36,bó tè,2,"[""伯特"", ""博特""]"
2,37,bó ěr,2,"[""伯尔"", ""博尔""]"
2,38,bù biàn,2,"[""不便"", ""不变""]"
2,39,bù dào,2,"[""布道"", ""步道""]"
2,40,bù dá,2,"[""不达"", ""布达""]"
2,41,bù dān,2,"[""不丹"", ""不单""]"
2,42,bù fèn,2,"[""部份"", ""部分""]"
2,43,bù fú,2,"[""不服"", ""不符""]"
2,44,bù jiā,2,"[""不佳"", ""不加""]"
2,45,bù jūn,2,"[""不均"", ""步军""]"
2,46,bù liào,2,"[""不料"", ""布料""]"
2,47,bù liáng,2,"[""不良"", ""布良""]"
2,48,bù luò,2,"[""布洛"", ""部落""]"
2,49,bù lái,2,"[""不来"", ""布莱""]"
2,50,bù lún,2,"[""不伦"", ""布伦""]"
2,51,bù lǐ,2,"[""不理"", ""布里""]"
2,52,bù mǎn,2,"[""不满"", ""布满""]"
2,53,bù néng zài,2,"[""不能再"", ""不能在""]"
2,54,bù qū,2,"[""不屈"", ""部曲""]"
2,55,bù rù,2,"[""不入"", ""步入""]"
2,56,bù shè,2,"[""不设"", ""布设""]"
2,57,bù shèn,2,"[""不慎"", ""不甚""]"
2,58,bù shí,2,"[""不实"", ""不时""]"
2,59,bù shī,2,"[""不失"", ""布施""]"
2,60,bù shǔ,2,"[""部属"", ""部署""]"
2,61,bù xià,2,"[""不下"", ""部下""]"
2,62,bù xíng,2,"[""不行"", ""步行""]"
2,63,bù yī,2,"[""不一"", ""布依""]"
2,64,bù yǐ,2,"[""不以"", ""不已""]"
2,65,bù zhèn,2,"[""不振"", ""布阵""]"
2,66,bù zhì,2,"[""不治"", ""布置""]"
2,67,bù zhǎng,2,"[""不长"", ""部长""]"
2,68,bù zhǐ,2,"[""不只"", ""不止""]"
2,69,bù zuò,2,"[""不作"", ""不做""]"
2,70,bù zú,2,"[""不足"", ""部族""]"
2,71,bú huì zài,2,"[""不会再"", ""不会在""]"
2,72,bā bā,2,"[""巴巴"", ""芭芭""]"
2,73,bā bǐ,2,"[""巴比"", ""芭比""]"
2,74,bā dá,2,"[""八达"", ""巴达""]"
2,75,bā dé,2,"[""八德"", ""巴德""]"
2,76,bā lì,2,"[""巴利"", ""巴力""]"
2,77,bā lí,2,"[""巴厘"", ""巴黎""]"
2,78,bā lǐ,2,"[""八里"", ""巴里""]"
2,79,bā qí,2,"[""八旗"", ""巴奇""]"
2,80,bā shì,2,"[""八世"", ""巴士""]"
2,81,bā yī,2,"[""八一"", ""巴伊""]"
2,82,bān de,2,"[""班的"", ""般的""]"
2,83,bān jiā,2,"[""搬家"", ""班加""]"
2,84,bān jī,2,"[""扳机"", ""班机""]"
2,85,bēn,2,"[""奔"", ""贲""]"
2,86,bēng,2,"[""崩"", ""绷""]"
2,87,běi jiē,2,"[""北接"", ""北街""]"
2,88,běi kǎ luó lái nà zhōu,2,"[""北卡罗来纳州"", ""北卡罗莱纳州""]"
2,89,běi lín,2,"[""北临"", ""北邻""]"
2,90,běi lù,2,"[""北路"", ""北陆""]"
2,91,běi shì,2,"[""北势"", ""北市""]"
2,92,běn,2,"[""本"", ""苯""]"
2,93,běn jì,2,"[""本季"", ""本纪""]"
2,94,běn jí,2,"[""本级"", ""本集""]"
2,95,běn shì,2,"[""本市"", ""本是""]"
2,96,běn wèi,2,"[""本为"", ""本位""]"
2,97,běn xiàn,2,"[""本县"", ""本线""]"
2,98,běn xìng,2,"[""本姓"", ""本性""]"
2,99,bīng,2,"[""兵"", ""冰""]"
2,100,bīng yuán,2,"[""兵员"", ""冰原""]"
2,101,bō chū,2,"[""拨出"", ""播出""]"
2,102,bō lì,2,"[""波利"", ""玻利""]"
2,103,bō lí,2,"[""剥离"", ""玻璃""]"
2,104,bō xī,2,"[""波希"", ""波西""]"
2,105,bō xī mǐ yà,2,"[""波希米亚"", ""波西米亚""]"
2,106,bō yīn,2,"[""播音"", ""波音""]"
2,107,bō ěr,2,"[""波尔"", ""玻尔""]"
2,108,bǎn běn,2,"[""坂本"", ""版本""]"
2,109,bǎn de,2,"[""板的"", ""版的""]"
2,110,bǎn hé,2,"[""板和"", ""版和""]"
2,111,bǎo biāo,2,"[""保镖"", ""保镳""]"
2,112,bǎo lì,2,"[""保利"", ""宝丽""]"
2,113,bǎo shí,2,"[""保时"", ""宝石""]"
2,114,bǎo ān,2,"[""保安"", ""宝安""]"
2,115,bǐ jì,2,"[""笔记"", ""笔迹""]"
2,116,bǐ lì,2,"[""比例"", ""比利""]"
2,117,bǐ tè,2,"[""彼特"", ""比特""]"
2,118,bǔ shí,2,"[""捕食"", ""补时""]"
2,119,chuàn,2,"[""串"", ""钏""]"
2,120,chuàn lián,2,"[""串联"", ""串连""]"
2,121,chuán dào,2,"[""传到"", ""传道""]"
2,122,chuáng,2,"[""幢"", ""床""]"
2,123,chuò,2,"[""绰"", ""辍""]"
2,124,chuān shàng,2,"[""川上"", ""穿上""]"
2,125,chuāng,2,"[""疮"", ""窗""]"
2,126,chuī,2,"[""吹"", ""炊""]"
2,127,chà,2,"[""岔"", ""差""]"
2,128,chàn,2,"[""忏"", ""颤""]"
2,129,chái,2,"[""侪"", ""柴""]"
2,130,cháng bèi,2,"[""常备"", ""常被""]"
2,131,cháng nián,2,"[""常年"", ""长年""]"
2,132,cháng shì,2,"[""尝试"", ""常侍""]"
2,133,cháng shí,2,"[""常识"", ""长石""]"
2,134,cháng zhù,2,"[""常住"", ""常驻""]"
2,135,chè xiāo,2,"[""撤消"", ""撤销""]"
2,136,chèn,2,"[""衬"", ""趁""]"
2,137,chén jiā,2,"[""陈嘉"", ""陈家""]"
2,138,chén mò,2,"[""沉没"", ""沉默""]"
2,139,chén shì,2,"[""陈世"", ""陈氏""]"
2,140,chén xiǎo,2,"[""陈小"", ""陈晓""]"
2,141,chén yì,2,"[""陈奕"", ""陈毅""]"
2,142,chéng de,2,"[""城的"", ""成的""]"
2,143,chéng fèn,2,"[""成份"", ""成分""]"
2,144,chéng jiāo,2,"[""城郊"", ""成交""]"
2,145,chéng jī,2,"[""乘机"", ""乘积""]"
2,146,chéng rén,2,"[""城人"", ""成人""]"
2,147,chéng shì,2,"[""城市"", ""程式""]"
2,148,chéng xiàn,2,"[""呈现"", ""城县""]"
2,149,chéng xiàng,2,"[""丞相"", ""成像""]"
2,150,chéng xíng,2,"[""成型"", ""成形""]"
2,151,chéng zhì,2,"[""惩治"", ""承志""]"
2,152,chóng,2,"[""崇"", ""虫""]"
2,153,chù jí,2,"[""处级"", ""触及""]"
2,154,chā,2,"[""叉"", ""插""]"
2,155,chēn,2,"[""琛"", ""郴""]"
2,156,chēng,2,"[""撑"", ""称""]"
2,157,chēng zuò,2,"[""称作"", ""称做""]"
2,158,chī,2,"[""吃"", ""痴""]"
2,159,chōng jī,2,"[""冲击"", ""冲积""]"
2,160,chū,2,"[""出"", ""初""]"
2,161,chū bǎn,2,"[""出版"", ""初版""]"
2,162,chū chǎng,2,"[""出厂"", ""出场""]"
2,163,chū de,2,"[""出的"", ""初的""]"
2,164,chū jìng,2,"[""出境"", ""出镜""]"
2,165,chū míng,2,"[""出名"", ""初名""]"
