N,pair_count,source_token_count,a_vocab_size,d_vocab_size,mapped_a_count,one_to_one_source_count,many_to_one_source_count,many_to_one_pair_count,independent_a_count,independent_d_count
2,1861,3722,61142,42652,40374,32025,8349,2708,20768,7919
3,340,1020,61142,42652,40374,32025,8349,2708,20768,7919
4,145,580,61142,42652,40374,32025,8349,2708,20768,7919
5,90,450,61142,42652,40374,32025,8349,2708,20768,7919
6,64,384,61142,42652,40374,32025,8349,2708,20768,7919
7,48,336,61142,42652,40374,32025,8349,2708,20768,7919
8,45,360,61142,42652,40374,32025,8349,2708,20768,7919
9,25,225,61142,42652,40374,32025,8349,2708,20768,7919
10,19,190,61142,42652,40374,32025,8349,2708,20768,7919
11,17,187,61142,42652,40374,32025,8349,2708,20768,7919
12,11,132,61142,42652,40374,32025,8349,2708,20768,7919
13,15,195,61142,42652,40374,32025,8349,2708,20768,7919
14,5,70,61142,42652,40374,32025,8349,2708,20768,7919
15,6,90,61142,42652,40374,32025,8349,2708,20768,7919
17,2,34,61142,42652,40374,32025,8349,2708,20768,7919
18,1,18,61142,42652,40374,32025,8349,2708,20768,7919
19,1,19,61142,42652,40374,32025,8349,2708,20768,7919
20,2,40,61142,42652,40374,32025,8349,2708,20768,7919
21,1,21,61142,42652,40374,32025,8349,2708,20768,7919
22,3,66,61142,42652,40374,32025,8349,2708,20768,7919
26,1,26,61142,42652,40374,32025,8349,2708,20768,7919
27,3,81,61142,42652,40374,32025,8349,2708,20768,7919
30,1,30,61142,42652,40374,32025,8349,2708,20768,7919
32,1,32,61142,42652,40374,32025,8349,2708,20768,7919
41,1,41,61142,42652,40374,32025,8349,2708,20768,7919
