N,pair_count,source_token_count,a_vocab_size,c_vocab_size,mapped_a_count,one_to_one_source_count,many_to_one_source_count,many_to_one_pair_count,independent_a_count,independent_c_count
2,1860,3720,61142,42662,40352,32006,8346,2707,20790,7949
3,339,1017,61142,42662,40352,32006,8346,2707,20790,7949
4,146,584,61142,42662,40352,32006,8346,2707,20790,7949
5,90,450,61142,42662,40352,32006,8346,2707,20790,7949
6,64,384,61142,42662,40352,32006,8346,2707,20790,7949
7,48,336,61142,42662,40352,32006,8346,2707,20790,7949
8,45,360,61142,42662,40352,32006,8346,2707,20790,7949
9,26,234,61142,42662,40352,32006,8346,2707,20790,7949
10,18,180,61142,42662,40352,32006,8346,2707,20790,7949
11,17,187,61142,42662,40352,32006,8346,2707,20790,7949
12,11,132,61142,42662,40352,32006,8346,2707,20790,7949
13,15,195,61142,42662,40352,32006,8346,2707,20790,7949
14,6,84,61142,42662,40352,32006,8346,2707,20790,7949
15,5,75,61142,42662,40352,32006,8346,2707,20790,7949
17,2,34,61142,42662,40352,32006,8346,2707,20790,7949
18,1,18,61142,42662,40352,32006,8346,2707,20790,7949
19,1,19,61142,42662,40352,32006,8346,2707,20790,7949
20,2,40,61142,42662,40352,32006,8346,2707,20790,7949
21,1,21,61142,42662,40352,32006,8346,2707,20790,7949
22,3,66,61142,42662,40352,32006,8346,2707,20790,7949
26,1,26,61142,42662,40352,32006,8346,2707,20790,7949
27,3,81,61142,42662,40352,32006,8346,2707,20790,7949
30,1,30,61142,42662,40352,32006,8346,2707,20790,7949
32,1,32,61142,42662,40352,32006,8346,2707,20790,7949
41,1,41,61142,42662,40352,32006,8346,2707,20790,7949
