tokenizer,type,tokens_per_sentence,tokens_per_char,morphological_coherence,cross_lingual_overlap,chars_per_token,bytes_per_token
pinyin_diacritic_subset100k_superbpe_32000,diacritic,371.42914819328456,0.18655750924409192,0.009395713954411399,0.0,5.360277396776345,6.554680104398194
pinyin_toneless_subset100k_superbpe_64000,toneless,492.44005652294186,0.2748928421734197,0.8900213092926256,0.0,3.6377811517156093,3.679588183896144
pinyin_diacritic_subset100k_superbpe_16000,diacritic,404.9935551883724,0.20341588505739805,0.012359111725239343,0.0,4.916036914805494,6.011451828470947
pinyin_toned_subset100k_superbpe_32000,toned,514.3823522814782,0.2322975273062517,0.8696772742753288,0.0,4.304824126180389,4.344847772401387
pinyin_toned_subset100k_superbpe_16000,toned,528.2093965652593,0.2385418865515291,0.875191543893863,0.0,4.1921358737304315,4.231111812863494
pinyin_toneless_subset100k_superbpe_8000,toneless,531.6298644496115,0.296769611827902,0.9095226312645351,0.0,3.369617238910244,3.4083424096855026
chinese_origin_subset100k_superbpe_16000,origin,370.9074997570112,0.6459598945932703,0.0,0.0,1.5480837252746962,3.982793127950798
chinese_origin_subset100k_superbpe_32000,origin,338.61496362644016,0.5897203112774339,0.0,0.0,1.6957191076458449,4.3626183123062905
pinyin_toned_subset100k_superbpe_8000,toned,547.745018728832,0.24736426683510426,0.87657557140572,0.0,4.042621081833986,4.080206923030346
chinese_origin_subset100k_superbpe_8000,origin,411.5889750357007,0.7168093691931008,0.0,0.0,1.3950710509346185,3.5891336521088832
pinyin_diacritic_subset100k_superbpe_8000,diacritic,445.718940419137,0.22387100137935112,0.01533434044336034,0.0,4.466858118463911,5.462184859289773
chinese_origin_subset100k_superbpe_64000,origin,312.7377589700264,0.5446534512026814,0.0,0.0,1.8360298604403242,4.723599241750721
pinyin_toned_subset100k_superbpe_64000,toned,503.57556952845215,0.2274171325949454,0.8640502868562662,0.0,4.397206088167106,4.4380886458918924
pinyin_diacritic_subset100k_superbpe_64000,diacritic,343.9061764024194,0.17273356169103868,0.007226155018496353,0.0,5.789262898362845,7.079254212076905
pinyin_toneless_subset100k_superbpe_32000,toneless,502.89631479390806,0.2807297973855945,0.8956786050081442,0.0,3.5621441304517343,3.6030819076523404
pinyin_toneless_subset100k_superbpe_16000,toneless,514.8281732473029,0.287390470982751,0.900465908611601,0.0,3.4795864893516923,3.519575476667951
