rank,pinyin_form,chinese_forms,group_size,count_or_frequency_if_available,source_file,manual_status
1,yì,乂 | 义 | 亦 | 亿 | 佚 | 刈 | 奕 | 屹 | 异 | 弈 | 弋 | 役 | 忆 | 意 | 懿 | 抑 | 挹 | 易 | 毅 | 溢 | 疫 | 益 | 绎 | 缢 | 羿 | 翊 | 翌 | 翼 | 肄 | 艺 | 蜴 | 裔 | 议 | 译 | 诣 | 谊 | 轶 | 逸 | 邑 | 驿 | 鮨,41,41,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
2,xī,僖 | 兮 | 吸 | 嘻 | 夕 | 奚 | 嬉 | 希 | 息 | 悉 | 惜 | 昔 | 晰 | 曦 | 析 | 汐 | 溪 | 烯 | 熄 | 熙 | 熹 | 牺 | 犀 | 硒 | 稀 | 羲 | 膝 | 蜥 | 西 | 谿 | 醯 | 锡,32,32,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
3,lì,丽 | 例 | 俐 | 俪 | 利 | 力 | 励 | 历 | 厉 | 吏 | 坜 | 栃 | 栎 | 栗 | 歴 | 沥 | 溧 | 痢 | 砺 | 砾 | 立 | 笠 | 粒 | 脷 | 荔 | 莅 | 莉 | 蛎 | 隶 | 雳,30,30,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
4,jì,伎 | 冀 | 剂 | 妓 | 季 | 寂 | 寄 | 忌 | 技 | 既 | 暨 | 济 | 祭 | 稷 | 纪 | 继 | 绩 | 蓟 | 觊 | 计 | 记 | 迹 | 际 | 霁 | 骥 | 髻 | 鲫,27,27,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
5,shì,世 | 事 | 仕 | 似 | 侍 | 势 | 嗜 | 噬 | 士 | 室 | 市 | 式 | 弑 | 恃 | 是 | 柿 | 氏 | 示 | 视 | 誓 | 试 | 谥 | 轼 | 适 | 逝 | 释 | 饰,27,27,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
6,yù,喻 | 域 | 堉 | 寓 | 峪 | 御 | 愈 | 昱 | 欲 | 毓 | 浴 | 煜 | 狱 | 玉 | 聿 | 育 | 芋 | 裕 | 誉 | 谕 | 豫 | 遇 | 郁 | 钰 | 阈 | 预 | 驭,27,27,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
7,qí,俟 | 其 | 圻 | 埼 | 奇 | 岐 | 崎 | 旗 | 棋 | 歧 | 淇 | 琦 | 琪 | 碁 | 祁 | 祇 | 祈 | 祺 | 綦 | 耆 | 脐 | 蕲 | 骑 | 鳍 | 麒 | 齐,26,26,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
8,jí,亟 | 佶 | 即 | 及 | 吉 | 嫉 | 岌 | 急 | 极 | 棘 | 楫 | 汲 | 疾 | 瘠 | 笈 | 籍 | 级 | 脊 | 藉 | 诘 | 辑 | 集,22,22,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
9,jī,乩 | 击 | 圾 | 基 | 姬 | 撃 | 机 | 激 | 玑 | 畸 | 畿 | 矶 | 积 | 稽 | 箕 | 缉 | 羁 | 肌 | 讥 | 跻 | 饥 | 鸡,22,22,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
10,zhì,制 | 峙 | 帜 | 志 | 挚 | 掷 | 智 | 栉 | 治 | 滞 | 炙 | 秩 | 稚 | 窒 | 置 | 至 | 致 | 蛭 | 质 | 郅 | 陟 | 雉,22,22,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
11,yú,于 | 余 | 俞 | 妤 | 娱 | 愉 | 愚 | 於 | 榆 | 渔 | 渝 | 瑜 | 盂 | 禺 | 舆 | 虞 | 觎 | 逾 | 隅 | 馀 | 鱼,21,21,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
12,bì,哔 | 壁 | 婢 | 币 | 庇 | 弊 | 弼 | 必 | 毕 | 毙 | 璧 | 碧 | 臂 | 苾 | 蔽 | 裨 | 避 | 铋 | 闭 | 陛,20,20,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
13,fù,付 | 傅 | 副 | 咐 | 复 | 妇 | 富 | 父 | 缚 | 腹 | 蝮 | 覆 | 讣 | 负 | 赋 | 赴 | 阜 | 附 | 馥 | 驸,20,20,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
14,fú,伏 | 佛 | 俘 | 匐 | 孚 | 幅 | 弗 | 扶 | 拂 | 服 | 氟 | 浮 | 涪 | 福 | 符 | 芙 | 苻 | 蝠 | 辐,19,19,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
15,jiàn,件 | 健 | 僭 | 剑 | 建 | 涧 | 渐 | 溅 | 箭 | 腱 | 舰 | 荐 | 见 | 谏 | 贱 | 践 | 鉴 | 键,18,18,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
16,jù,俱 | 具 | 剧 | 句 | 巨 | 惧 | 拒 | 据 | 炬 | 聚 | 苣 | 距 | 踞 | 遽 | 钜 | 锯 | 飓,17,17,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
