balanced_mixed_count,basic_pass_count,extraction_success_count,hanja_heavy_mixed_count,loose_pass_count,magazine_title,mean_hanja_ratio_loose,median_hanja_ratio_loose,near_classical_or_mostly_hanja_count,strict_pass_count,total_body_chars_loose,total_extracted_articles,total_hangul_chars_loose,total_hanja_chars_loose
338,368,423,4,342,개벽,0.3153399276623461,0.3070447565722379,45,302,1571195,423,990116,478038
153,279,405,109,262,기호흥학회월보,0.7020728827671016,0.6887649312598603,143,254,307433,405,73354,190336
52,55,118,1,53,대동아,0.2531484148163549,0.2259663032705649,67,44,159661,122,118231,28523
74,150,371,62,136,대동학회월보,0.7203880858705203,0.6945789713140216,237,126,262393,372,60309,161080
58,102,255,3,61,대조선독립협회회보,0.6233449342771442,0.6214833759590793,205,60,43642,255,13881,23022
43,90,123,36,79,대한유학생회학보,0.7109767601159317,0.6939461883408071,43,76,139326,123,33143,88473
71,250,342,142,213,대한자강회월보,0.7460411358376066,0.7435324772008189,130,194,424398,342,94954,280484
99,208,289,87,186,대한학회월보,0.6979710778514419,0.6936701863608624,100,171,279221,290,71901,171476
77,258,422,169,246,대한협회회보,0.7465986004580965,0.7470081168831169,177,240,395110,422,85899,261529
140,236,347,81,221,대한흥학보,0.6806895796767936,0.6832129963898917,125,201,406179,347,113053,237763
243,286,420,1,244,동광,0.2277925958515508,0.19134312342268942,46,206,920609,421,637123,195430
17,28,41,0,17,만국부인,0.10675526408526878,0.07212822796081923,4,14,26263,41,22207,1832
227,315,412,0,227,별건곤,0.17691402569212838,0.1352096329609749,62,176,668566,424,507292,116590
273,326,418,2,275,삼천리,0.22934742727591026,0.1882770870337478,65,243,770743,419,551955,160717
46,65,93,0,46,삼천리문학,0.1535549120450491,0.12179468006620008,7,37,162819,93,126878,23049
106,273,390,144,250,서북학회월보,0.6972376417176059,0.7101798762499811,172,240,397606,423,101139,238974
122,278,391,123,245,서우,0.7102222184511068,0.7014345487148834,150,236,397722,391,98503,248304
213,307,418,82,295,태극학보,0.6730030568776944,0.667621776504298,122,285,493022,418,140611,283090
42,167,177,77,119,호남학보,0.7375549449115884,0.7679944095038435,63,113,185875,177,44347,115997
