converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
구,89,True,丘 / 久 / 九 / 仇 / 佝 / 俱 / 傴 / 具 / 劬 / 勾 / 區 / 口 / 句 / 咎 / 嘔 / 坵 / 垢 / 姤 / 媾 / 嫗 / 寇 / 屨 / 嶇 / 廏 / 廐 / 彀 / 懼 / 扣 / 拘 / 捄 / 搆 / 摳 / 救 / 枸 / 柩 / 構 / 歐 / 毆 / 毬 / 求 / 溝 / 漚 / 灸 / 狗 / 玖 / 球 / 璆 / 甌 / 疚 / 痀 / 瞿 / 矩 / 究 / 窶 / 篝 / 糗 / 耈 / 耉 / 胊 / 臼 / 舅 / 舊 / 苟 / 蒟 / 蚯 / 衢 / 裘 / 覯 / 詬 / 謳 / 購 / 軀 / 逑 / 遘 / 邱 / 釦 / 鉤 / 銶 / 韝 / 韭 / 韮 / 颶 / 駈 / 駒 / 驅 / 鬮 / 鳩 / 鷗 / 龜,11048,1258
기,88,True,企 / 伎 / 其 / 冀 / 剞 / 嗜 / 器 / 圻 / 基 / 埼 / 墍 / 夔 / 奇 / 妓 / 寄 / 屺 / 岐 / 崎 / 己 / 幾 / 弃 / 忌 / 忮 / 技 / 掎 / 攲 / 旂 / 旗 / 旣 / 曁 / 朞 / 期 / 杞 / 棄 / 棊 / 棋 / 機 / 欺 / 歧 / 氣 / 汽 / 沂 / 淇 / 猉 / 琦 / 琪 / 璂 / 璣 / 畸 / 畿 / 碁 / 磯 / 祁 / 祇 / 祈 / 祺 / 禨 / 箕 / 紀 / 綦 / 綺 / 羇 / 羈 / 耆 / 耭 / 肌 / 芪 / 芰 / 虁 / 蟣 / 覉 / 覬 / 記 / 譏 / 豈 / 起 / 跂 / 錡 / 錤 / 頎 / 飢 / 饑 / 騎 / 騏 / 驥 / 鬐 / 鰭 / 麒,21941,2510
유,86,True,乳 / 侑 / 儒 / 兪 / 劉 / 唯 / 喩 / 囿 / 孺 / 宥 / 帷 / 幼 / 幽 / 庾 / 忸 / 悠 / 惟 / 愈 / 愉 / 揄 / 揉 / 攸 / 旒 / 有 / 杻 / 柔 / 柚 / 柳 / 楡 / 楢 / 榴 / 橊 / 油 / 洧 / 流 / 游 / 溜 / 濡 / 瀏 / 牖 / 猶 / 猷 / 琉 / 瑜 / 瑠 / 由 / 留 / 瘉 / 瘐 / 瘤 / 癒 / 硫 / 窬 / 窳 / 籲 / 糅 / 紐 / 維 / 緌 / 縲 / 腴 / 臾 / 莠 / 蕕 / 蕤 / 裕 / 誘 / 諛 / 諭 / 謬 / 讉 / 踰 / 蹂 / 逾 / 遊 / 遛 / 遺 / 酉 / 釉 / 鍮 / 鞣 / 類 / 鮪 / 鶹 / 鼬 / 龥,14945,1692
이,76,True,二 / 以 / 伊 / 俐 / 俚 / 利 / 厘 / 吏 / 呢 / 咿 / 哩 / 唎 / 夷 / 妮 / 姨 / 嫠 / 尼 / 履 / 已 / 弛 / 彛 / 彝 / 怡 / 怩 / 悧 / 李 / 梨 / 泥 / 浬 / 涖 / 漓 / 濔 / 灕 / 爾 / 犁 / 犂 / 狸 / 珥 / 理 / 璃 / 異 / 痍 / 痢 / 禰 / 离 / 移 / 籬 / 罹 / 羡 / 羸 / 而 / 耳 / 肄 / 膩 / 苡 / 荑 / 莅 / 薾 / 蜊 / 螭 / 裏 / 裡 / 詑 / 貳 / 貽 / 迤 / 邇 / 里 / 釐 / 離 / 頤 / 頥 / 飴 / 餌 / 魑 / 鯉,23341,2699
사,74,True,乍 / 事 / 些 / 仕 / 伺 / 似 / 使 / 俟 / 僿 / 剚 / 卸 / 史 / 司 / 咋 / 唆 / 嗣 / 四 / 士 / 奢 / 姒 / 娑 / 寫 / 寺 / 射 / 巳 / 師 / 徙 / 思 / 捨 / 斜 / 斯 / 柶 / 査 / 梭 / 楂 / 榭 / 死 / 沙 / 泗 / 涘 / 渣 / 瀉 / 獅 / 砂 / 社 / 祀 / 祠 / 禠 / 私 / 竢 / 笥 / 篩 / 紗 / 絲 / 肆 / 舍 / 莎 / 蛇 / 裟 / 覗 / 詐 / 詞 / 謝 / 賜 / 赦 / 辭 / 邪 / 飼 / 駛 / 駟 / 魦 / 鯊 / 鰤 / 麝,18339,2158
수,74,True,修 / 受 / 叟 / 售 / 嗽 / 囚 / 垂 / 壽 / 守 / 岫 / 峀 / 帥 / 廋 / 愁 / 戍 / 手 / 授 / 搜 / 收 / 數 / 晬 / 樹 / 殊 / 殳 / 水 / 洙 / 溲 / 漱 / 燧 / 狩 / 獸 / 琇 / 瘦 / 睟 / 睡 / 睢 / 瞍 / 祟 / 秀 / 穗 / 竪 / 粹 / 綏 / 綬 / 繡 / 羞 / 脩 / 膄 / 膸 / 茱 / 蒐 / 藪 / 袖 / 誰 / 讎 / 讐 / 豎 / 輸 / 遂 / 邃 / 酬 / 銖 / 銹 / 陲 / 隋 / 隧 / 隨 / 雖 / 需 / 須 / 颼 / 首 / 髓 / 鬚,14911,1676
비,74,True,丕 / 俾 / 備 / 匕 / 匪 / 卑 / 圮 / 妃 / 妣 / 婢 / 屁 / 庇 / 庳 / 悱 / 悲 / 憊 / 扉 / 批 / 斐 / 枇 / 榧 / 比 / 毖 / 毗 / 毘 / 沘 / 沸 / 泌 / 狉 / 狒 / 琵 / 痞 / 痺 / 睥 / 砒 / 碑 / 祕 / 秕 / 秘 / 篚 / 篦 / 粃 / 紕 / 緋 / 羆 / 翡 / 肥 / 脾 / 腓 / 臂 / 芾 / 菲 / 萆 / 蓖 / 蚍 / 蜚 / 裨 / 誹 / 譬 / 貔 / 費 / 賁 / 贔 / 轡 / 鄙 / 閟 / 陴 / 霏 / 非 / 鞴 / 飛 / 髀 / 鼙 / 鼻,6875,716
조,65,True,佻 / 俎 / 兆 / 凋 / 刁 / 助 / 厝 / 嘈 / 嘲 / 噪 / 嬥 / 弔 / 彫 / 徂 / 措 / 操 / 早 / 曹 / 曺 / 朝 / 條 / 棗 / 槽 / 殂 / 漕 / 潮 / 澡 / 照 / 燥 / 爪 / 皁 / 眺 / 祖 / 祚 / 租 / 稠 / 窕 / 竈 / 笊 / 粗 / 糙 / 糟 / 糶 / 組 / 絛 / 繰 / 肇 / 臊 / 蔦 / 藻 / 蚤 / 蜩 / 詔 / 調 / 譟 / 趙 / 躁 / 造 / 遭 / 釣 / 阻 / 雕 / 鯛 / 鳥 / 鵰,8039,963
부,60,True,不 / 仆 / 付 / 俘 / 俯 / 傅 / 剖 / 副 / 否 / 咐 / 埠 / 夫 / 婦 / 孚 / 孵 / 富 / 府 / 扶 / 抔 / 拊 / 掊 / 敷 / 斧 / 桴 / 浮 / 父 / 玞 / 祔 / 符 / 簿 / 缶 / 罘 / 腑 / 膚 / 艀 / 芙 / 芣 / 荴 / 莩 / 蔀 / 蚨 / 蜉 / 裒 / 訃 / 負 / 賦 / 賻 / 赴 / 趺 / 跗 / 部 / 釜 / 鈇 / 阜 / 附 / 頫 / 駙 / 鮒 / 鳧 / 麩,13274,1623
전,60,True,佃 / 佺 / 傳 / 全 / 典 / 前 / 剪 / 吮 / 囀 / 塡 / 塼 / 奠 / 專 / 展 / 巓 / 廛 / 悛 / 戰 / 旃 / 栓 / 槇 / 殿 / 氈 / 湔 / 澱 / 煎 / 牋 / 田 / 甸 / 畋 / 畑 / 癲 / 磚 / 箋 / 箭 / 篆 / 纏 / 羶 / 翦 / 腆 / 膞 / 荃 / 詮 / 輾 / 轉 / 邅 / 鈿 / 銓 / 鋑 / 錢 / 鐫 / 雋 / 電 / 靛 / 靦 / 顓 / 顚 / 顫 / 餞 / 鸇,11059,1169
