converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
이기,11,True,이其 / 而己 / 이起 / 以其 / 而其 / 이旣 / 利己 / 이己 / 理氣 / 李沂 / 李基,1190,105
지지,8,True,之地 / 知之 / 支持 / 之志 / 地誌 / 地之 / 遲遲 / 之至,498,64
이상,7,True,以上 / 理想 / 이相 / 異常 / 李相 / 李商 / 이尙,1661,171
사를,7,True,事를 / 史를 / 辭를 / 使를 / 死를 / 士를 / 師를,987,108
사의,7,True,事의 / 社의 / 士의 / 死의 / 師의 / 思議 / 史의,598,103
기가,7,True,氣가 / 其家 / 期가 / 機가 / 豈可 / 其可 / 旗가,665,70
의사,6,True,意思 / 의事 / 醫師 / 의四 / 議事 / 義士,786,80
부의,6,True,部의 / 夫의 / 富의 / 婦의 / 父의 / 府의,454,57
지고,6,True,之고 / 知고 / 止고 / 持고 / 至고 / 地고,532,52
기의,6,True,氣의 / 期의 / 其意 / 器의 / 己의 / 機의,451,49
사지,6,True,思之 / 使之 / 四肢 / 事之 / 士之 / 死之,347,39
의정,6,True,의情 / 의定 / 議定 / 의正 / 議政 / 의精,327,35
유의,6,True,類의 / 流의 / 有의 / 留意 / 遊의 / 儒의,384,30
이지,6,True,以至 / 理智 / 而知 / 理之 / 而止 / 以之,221,23
주의,5,True,主義 / 注意 / 州의 / 主의 / 主意,1754,199
이유,5,True,이有 / 理由 / 而有 / 이愈 / 이猶,1917,197
의를,5,True,意를 / 義를 / 議를 / 衣를 / 誼를,704,78
기를,5,True,氣를 / 器를 / 機를 / 旗를 / 期를,673,72
이자,5,True,이自 / 二字 / 而自 / 利子 / 二者,600,69
도의,5,True,道의 / 度의 / 島의 / 道義 / 都의,541,57
지리,5,True,地理 / 之理 / 地利 / 支離 / 之利,433,39
기부,5,True,豈不 / 寄附 / 寄付 / 其父 / 其不,370,39
부여,5,True,不如 / 扶餘 / 賦與 / 夫餘 / 附與,367,38
부를,5,True,部를 / 富를 / 府를 / 否를 / 夫를,313,36
이의,5,True,異議 / 理의 / 里의 / 爾의 / 利의,229,26
의기,5,True,의氣 / 意氣 / 의基 / 宜其 / 의機,231,26
지성,5,True,至誠 / 之盛 / 之性 / 之成 / 之聲,155,24
을시,5,True,을是 / 을試 / 을施 / 을始 / 을示,337,24
부가,5,True,部가 / 夫가 / 婦가 / 不暇 / 附加,217,12
100,4,True,佰 / 百 / 陌 / 一百,1574,165
자가,4,True,者가 / 子가 / 自家 / 字가,1553,160
1000,4,True,仟 / 千 / 阡 / 一千,1174,146
인도,4,True,印度 / 人도 / 人道 / 引導,1016,121
자를,4,True,者를 / 子를 / 字를 / 資를,1304,116
자기,4,True,自己 / 自棄 / 磁器 / 自期,848,114
에부,4,True,에不 / 에付 / 에附 / 에赴,964,109
회의,4,True,會의 / 會議 / 懷疑 / 回의,923,102
이일,4,True,이一 / 이日 / 以一 / 而一,947,81
지사,4,True,志士 / 之事 / 知事 / 之士,598,73
이를,4,True,理를 / 利를 / 里를 / 耳를,541,67
지를,4,True,地를 / 志를 / 旨를 / 紙를,657,63
지도,4,True,指導 / 之道 / 地圖 / 之徒,562,63
성이,4,True,性이 / 聲이 / 城이 / 星이,543,57
의의,4,True,의意 / 意義 / 義의 / 意의,479,56
이위,4,True,以爲 / 而爲 / 이爲 / 已爲,595,55
도가,4,True,度가 / 道가 / 도可 / 徒가,259,51
수가,4,True,數가 / 水가 / 誰가 / 樹가,582,50
원을,4,True,員을 / 圓을 / 源을 / 元을,414,47
여의,4,True,余의 / 女의 / 汝의 / 如意,307,47
수를,4,True,水를 / 數를 / 手를 / 首를,485,45
기인,4,True,其人 / 幾人 / 基因 / 起因,245,44
이이,4,True,而已 / 이已 / 而以 / 이以,369,40
의원,4,True,議員 / 議院 / 의原 / 醫院,313,40
수의,4,True,水의 / 數의 / 隨意 / 手의,308,40
시의,4,True,時의 / 時宜 / 市의 / 詩의,343,39
도를,4,True,道를 / 度를 / 都를 / 島를,394,39
가가,4,True,家가 / 家家 / 價가 / 가可,358,39
이전,4,True,以前 / 이全 / 移轉 / 이前,333,36
신을,4,True,身을 / 神을 / 臣을 / 信을,289,36
성의,4,True,性의 / 誠意 / 城의 / 省의,367,36
구조,4,True,九條 / 搆造 / 構造 / 救助,322,34
지시,4,True,之時 / 只是 / 指示 / 之始,258,33
정의,4,True,正義 / 政의 / 定義 / 定의,255,33
거야,4,True,擧야 / 據야 / 去야 / 居야,243,33
시를,4,True,是를 / 詩를 / 時를 / 市를,294,31
상이,4,True,相異 / 上이 / 狀이 / 相이,310,30
명의,4,True,名義 / 名의 / 明의 / 命의,259,29
적의,4,True,的의 / 適宜 / 敵의 / 賊의,350,28
관을,4,True,官을 / 觀을 / 冠을 / 管을,241,28
여가,4,True,余가 / 女가 / 餘暇 / 汝가,295,26
이가,4,True,利加 / 이可 / 理가 / 而可,232,22
화를,4,True,禍를 / 火를 / 化를 / 花를,186,21
전도,4,True,前途 / 顚倒 / 傳道 / 前塗,302,21
지세,4,True,之勢 / 地勢 / 地稅 / 之世,193,19
이에,4,True,里에 / 裡에 / 裏에 / 理에,223,19
사고,4,True,捨고 / 事고 / 舍고 / 思고,171,18
수야,4,True,隨야 / 守야 / 修야 / 受야,160,16
